date,eua_carbon_price_eur_tco2,source_created_at,singapore_vlsfo_usd_mt,singapore_hsfo_usd_mt,singapore_hi5_spread_usd_mt,rotterdam_hi5_spread_usd_mt,houston_hi5_spread_usd_mt,capesize_scrubber_savings_usd_day,vlcc_scrubber_savings_usd_day,capesize_eu_ets_surcharge_usd_day,provenance
2011-02-22,20.45,,,,,,,,,,icap_ape_eu_ets_daily
2011-03-01,21.15,,,,,,,,,,icap_ape_eu_ets_daily
2011-03-08,21.61,,,,,,,,,,icap_ape_eu_ets_daily
2011-03-15,22.38,,,,,,,,,,icap_ape_eu_ets_daily
2011-03-22,22.79,,,,,,,,,,icap_ape_eu_ets_daily
2011-03-29,23.52,,,,,,,,,,icap_ape_eu_ets_daily
2011-04-05,24.32,,,,,,,,,,icap_ape_eu_ets_daily
2011-04-12,23.58,,,,,,,,,,icap_ape_eu_ets_daily
2011-04-19,23.4,,,,,,,,,,icap_ape_eu_ets_daily
2011-04-26,23.71,,,,,,,,,,icap_ape_eu_ets_daily
2011-05-03,24.28,,,,,,,,,,icap_ape_eu_ets_daily
2011-05-10,23.98,,,,,,,,,,icap_ape_eu_ets_daily
2011-05-17,23.69,,,,,,,,,,icap_ape_eu_ets_daily
2011-05-24,23.04,,,,,,,,,,icap_ape_eu_ets_daily
2011-05-31,24.25,,,,,,,,,,icap_ape_eu_ets_daily
2011-06-07,23.63,,,,,,,,,,icap_ape_eu_ets_daily
2011-06-14,23.4,,,,,,,,,,icap_ape_eu_ets_daily
2011-06-21,21.47,,,,,,,,,,icap_ape_eu_ets_daily
2011-06-28,18.55,,,,,,,,,,icap_ape_eu_ets_daily
2011-07-05,19.01,,,,,,,,,,icap_ape_eu_ets_daily
2011-07-12,16.46,,,,,,,,,,icap_ape_eu_ets_daily
2011-07-19,17.43,,,,,,,,,,icap_ape_eu_ets_daily
2011-07-26,18.36,,,,,,,,,,icap_ape_eu_ets_daily
2011-08-02,16.57,,,,,,,,,,icap_ape_eu_ets_daily
2011-08-09,15.13,,,,,,,,,,icap_ape_eu_ets_daily
2011-08-16,17.41,,,,,,,,,,icap_ape_eu_ets_daily
2011-08-23,18.0,,,,,,,,,,icap_ape_eu_ets_daily
2011-08-30,18.53,,,,,,,,,,icap_ape_eu_ets_daily
2011-09-06,16.98,,,,,,,,,,icap_ape_eu_ets_daily
2011-09-13,16.17,,,,,,,,,,icap_ape_eu_ets_daily
2011-09-20,15.99,,,,,,,,,,icap_ape_eu_ets_daily
2011-09-27,14.87,,,,,,,,,,icap_ape_eu_ets_daily
2011-10-04,13.6,,,,,,,,,,icap_ape_eu_ets_daily
2011-10-11,14.38,,,,,,,,,,icap_ape_eu_ets_daily
2011-10-18,13.71,,,,,,,,,,icap_ape_eu_ets_daily
2011-10-25,14.31,,,,,,,,,,icap_ape_eu_ets_daily
2011-10-27,14.12,,,,,,,,,,icap_ape_eu_ets_daily
2011-11-01,13.42,,,,,,,,,,icap_ape_eu_ets_daily
2011-11-08,13.49,,,,,,,,,,icap_ape_eu_ets_daily
2011-11-15,13.46,,,,,,,,,,icap_ape_eu_ets_daily
2011-11-22,12.16,,,,,,,,,,icap_ape_eu_ets_daily
2011-11-24,10.91,,,,,,,,,,icap_ape_eu_ets_daily
2011-12-13,9.4,,,,,,,,,,icap_ape_eu_ets_daily
2012-01-03,8.14,,,,,,,,,,icap_ape_eu_ets_daily
2012-01-10,8.81,,,,,,,,,,icap_ape_eu_ets_daily
2012-01-17,8.62,,,,,,,,,,icap_ape_eu_ets_daily
2012-01-24,8.9,,,,,,,,,,icap_ape_eu_ets_daily
2012-01-26,9.63,,,,,,,,,,icap_ape_eu_ets_daily
2012-01-31,9.89,,,,,,,,,,icap_ape_eu_ets_daily
2012-02-07,11.13,,,,,,,,,,icap_ape_eu_ets_daily
2012-02-14,10.05,,,,,,,,,,icap_ape_eu_ets_daily
2012-02-21,11.35,,,,,,,,,,icap_ape_eu_ets_daily
2012-02-23,11.65,,,,,,,,,,icap_ape_eu_ets_daily
2012-02-28,12.13,,,,,,,,,,icap_ape_eu_ets_daily
2012-03-06,11.14,,,,,,,,,,icap_ape_eu_ets_daily
2012-03-13,10.1,,,,,,,,,,icap_ape_eu_ets_daily
2012-03-15,10.3,,,,,,,,,,icap_ape_eu_ets_daily
2012-03-20,9.57,,,,,,,,,,icap_ape_eu_ets_daily
2012-03-22,9.17,,,,,,,,,,icap_ape_eu_ets_daily
2012-03-27,9.11,,,,,,,,,,icap_ape_eu_ets_daily
2012-04-03,7.9,,,,,,,,,,icap_ape_eu_ets_daily
2012-04-10,8.61,,,,,,,,,,icap_ape_eu_ets_daily
2012-04-17,9.17,,,,,,,,,,icap_ape_eu_ets_daily
2012-04-19,9.24,,,,,,,,,,icap_ape_eu_ets_daily
2012-04-24,9.29,,,,,,,,,,icap_ape_eu_ets_daily
2012-05-08,8.31,,,,,,,,,,icap_ape_eu_ets_daily
2012-05-15,8.3,,,,,,,,,,icap_ape_eu_ets_daily
2012-05-22,8.5,,,,,,,,,,icap_ape_eu_ets_daily
2012-05-29,8.38,,,,,,,,,,icap_ape_eu_ets_daily
2012-06-05,7.85,,,,,,,,,,icap_ape_eu_ets_daily
2012-06-12,8.19,,,,,,,,,,icap_ape_eu_ets_daily
2012-06-14,8.25,,,,,,,,,,icap_ape_eu_ets_daily
2012-06-19,9.26,,,,,,,,,,icap_ape_eu_ets_daily
2012-06-26,10.02,,,,,,,,,,icap_ape_eu_ets_daily
2012-07-03,9.97,,,,,,,,,,icap_ape_eu_ets_daily
2012-07-10,9.67,,,,,,,,,,icap_ape_eu_ets_daily
2012-07-17,9.44,,,,,,,,,,icap_ape_eu_ets_daily
2012-07-24,8.76,,,,,,,,,,icap_ape_eu_ets_daily
2012-07-31,8.16,,,,,,,,,,icap_ape_eu_ets_daily
2012-08-07,8.94,,,,,,,,,,icap_ape_eu_ets_daily
2012-08-14,9.31,,,,,,,,,,icap_ape_eu_ets_daily
2012-08-21,9.42,,,,,,,,,,icap_ape_eu_ets_daily
2012-08-28,10.23,,,,,,,,,,icap_ape_eu_ets_daily
2012-09-04,10.59,,,,,,,,,,icap_ape_eu_ets_daily
2012-09-11,9.92,,,,,,,,,,icap_ape_eu_ets_daily
2012-09-18,9.32,,,,,,,,,,icap_ape_eu_ets_daily
2012-09-25,9.27,,,,,,,,,,icap_ape_eu_ets_daily
2012-10-02,10.11,,,,,,,,,,icap_ape_eu_ets_daily
2012-10-09,10.18,,,,,,,,,,icap_ape_eu_ets_daily
2012-10-11,9.85,,,,,,,,,,icap_ape_eu_ets_daily
2012-10-16,10.07,,,,,,,,,,icap_ape_eu_ets_daily
2012-10-23,10.18,,,,,,,,,,icap_ape_eu_ets_daily
2012-10-26,9.78,,,,,,,,,,icap_ape_eu_ets_daily
2012-10-30,10.54,,,,,,,,,,icap_ape_eu_ets_daily
2012-10-31,9.09,,,,,,,,,,icap_ape_eu_ets_daily
2012-11-02,10.21,,,,,,,,,,icap_ape_eu_ets_daily
2012-11-06,10.57,,,,,,,,,,icap_ape_eu_ets_daily
2012-11-09,10.52,,,,,,,,,,icap_ape_eu_ets_daily
2012-11-13,10.89,,,,,,,,,,icap_ape_eu_ets_daily
2012-11-15,9.36,,,,,,,,,,icap_ape_eu_ets_daily
2012-11-16,8.66,,,,,,,,,,icap_ape_eu_ets_daily
2012-11-20,8.3,,,,,,,,,,icap_ape_eu_ets_daily
2012-11-22,8.52,,,,,,,,,,icap_ape_eu_ets_daily
2012-11-23,8.66,,,,,,,,,,icap_ape_eu_ets_daily
2012-11-27,8.59,,,,,,,,,,icap_ape_eu_ets_daily
2012-11-29,8.57,,,,,,,,,,icap_ape_eu_ets_daily
2012-11-30,7.99,,,,,,,,,,icap_ape_eu_ets_daily
2012-12-04,7.64,,,,,,,,,,icap_ape_eu_ets_daily
2012-12-06,8.27,,,,,,,,,,icap_ape_eu_ets_daily
2012-12-07,8.42,,,,,,,,,,icap_ape_eu_ets_daily
2012-12-10,8.7,,,,,,,,,,icap_ape_eu_ets_daily
2012-12-11,9.07,,,,,,,,,,icap_ape_eu_ets_daily
2012-12-13,8.59,,,,,,,,,,icap_ape_eu_ets_daily
2012-12-14,8.62,,,,,,,,,,icap_ape_eu_ets_daily
2012-12-17,8.25,,,,,,,,,,icap_ape_eu_ets_daily
2012-12-18,8.46,,,,,,,,,,icap_ape_eu_ets_daily
2013-01-07,8.21,,,,,,,,,,icap_ape_eu_ets_daily
2013-01-08,8.44,,,,,,,,,,icap_ape_eu_ets_daily
2013-01-10,7.88,,,,,,,,,,icap_ape_eu_ets_daily
2013-01-11,7.64,,,,,,,,,,icap_ape_eu_ets_daily
2013-01-14,7.37,,,,,,,,,,icap_ape_eu_ets_daily
2013-01-15,7.67,,,,,,,,,,icap_ape_eu_ets_daily
2013-01-17,7.12,,,,,,,,,,icap_ape_eu_ets_daily
2013-01-21,6.25,,,,,,,,,,icap_ape_eu_ets_daily
2013-01-22,6.48,,,,,,,,,,icap_ape_eu_ets_daily
2013-01-24,6.09,,,,,,,,,,icap_ape_eu_ets_daily
2013-01-25,5.16,,,,,,,,,,icap_ape_eu_ets_daily
2013-01-28,5.18,,,,,,,,,,icap_ape_eu_ets_daily
2013-01-29,5.16,,,,,,,,,,icap_ape_eu_ets_daily
2013-01-31,4.56,,,,,,,,,,icap_ape_eu_ets_daily
2013-02-01,4.21,,,,,,,,,,icap_ape_eu_ets_daily
2013-02-04,5.34,,,,,,,,,,icap_ape_eu_ets_daily
2013-02-05,5.48,,,,,,,,,,icap_ape_eu_ets_daily
2013-02-07,5.66,,,,,,,,,,icap_ape_eu_ets_daily
2013-02-08,5.77,,,,,,,,,,icap_ape_eu_ets_daily
2013-02-11,5.6,,,,,,,,,,icap_ape_eu_ets_daily
2013-02-12,5.93,,,,,,,,,,icap_ape_eu_ets_daily
2013-02-14,6.68,,,,,,,,,,icap_ape_eu_ets_daily
2013-02-15,6.63,,,,,,,,,,icap_ape_eu_ets_daily
2013-02-18,6.87,,,,,,,,,,icap_ape_eu_ets_daily
2013-02-19,5.76,,,,,,,,,,icap_ape_eu_ets_daily
2013-02-21,6.25,,,,,,,,,,icap_ape_eu_ets_daily
2013-02-25,6.36,,,,,,,,,,icap_ape_eu_ets_daily
2013-02-26,5.73,,,,,,,,,,icap_ape_eu_ets_daily
2013-02-28,5.85,,,,,,,,,,icap_ape_eu_ets_daily
2013-03-01,6.02,,,,,,,,,,icap_ape_eu_ets_daily
2013-03-04,5.89,,,,,,,,,,icap_ape_eu_ets_daily
2013-03-05,5.63,,,,,,,,,,icap_ape_eu_ets_daily
2013-03-07,5.34,,,,,,,,,,icap_ape_eu_ets_daily
2013-03-08,5.38,,,,,,,,,,icap_ape_eu_ets_daily
2013-03-11,5.2,,,,,,,,,,icap_ape_eu_ets_daily
2013-03-12,4.74,,,,,,,,,,icap_ape_eu_ets_daily
2013-03-14,4.36,,,,,,,,,,icap_ape_eu_ets_daily
2013-03-15,4.5,,,,,,,,,,icap_ape_eu_ets_daily
2013-03-18,4.5,,,,,,,,,,icap_ape_eu_ets_daily
2013-03-19,4.3,,,,,,,,,,icap_ape_eu_ets_daily
2013-03-20,4.76,,,,,,,,,,icap_ape_eu_ets_daily
2013-03-21,5.26,,,,,,,,,,icap_ape_eu_ets_daily
2013-03-22,5.48,,,,,,,,,,icap_ape_eu_ets_daily
2013-03-25,5.32,,,,,,,,,,icap_ape_eu_ets_daily
2013-03-26,6.12,,,,,,,,,,icap_ape_eu_ets_daily
2013-03-28,6.12,,,,,,,,,,icap_ape_eu_ets_daily
2013-04-02,5.73,,,,,,,,,,icap_ape_eu_ets_daily
2013-04-04,6.11,,,,,,,,,,icap_ape_eu_ets_daily
2013-04-05,6.58,,,,,,,,,,icap_ape_eu_ets_daily
2013-04-08,6.49,,,,,,,,,,icap_ape_eu_ets_daily
2013-04-09,6.38,,,,,,,,,,icap_ape_eu_ets_daily
2013-04-11,5.6,,,,,,,,,,icap_ape_eu_ets_daily
2013-04-12,5.73,,,,,,,,,,icap_ape_eu_ets_daily
2013-04-15,6.1,,,,,,,,,,icap_ape_eu_ets_daily
2013-04-16,6.08,,,,,,,,,,icap_ape_eu_ets_daily
2013-04-18,3.58,,,,,,,,,,icap_ape_eu_ets_daily
2013-04-19,4.04,,,,,,,,,,icap_ape_eu_ets_daily
2013-04-22,3.61,,,,,,,,,,icap_ape_eu_ets_daily
2013-04-23,3.6,,,,,,,,,,icap_ape_eu_ets_daily
2013-04-24,3.89,,,,,,,,,,icap_ape_eu_ets_daily
2013-04-25,3.84,,,,,,,,,,icap_ape_eu_ets_daily
2013-04-26,3.84,,,,,,,,,,icap_ape_eu_ets_daily
2013-04-29,3.96,,,,,,,,,,icap_ape_eu_ets_daily
2013-04-30,4.21,,,,,,,,,,icap_ape_eu_ets_daily
2013-05-02,3.76,,,,,,,,,,icap_ape_eu_ets_daily
2013-05-03,3.83,,,,,,,,,,icap_ape_eu_ets_daily
2013-05-06,4.74,,,,,,,,,,icap_ape_eu_ets_daily
2013-05-07,4.78,,,,,,,,,,icap_ape_eu_ets_daily
2013-05-10,4.57,,,,,,,,,,icap_ape_eu_ets_daily
2013-05-13,4.19,,,,,,,,,,icap_ape_eu_ets_daily
2013-05-14,4.19,,,,,,,,,,icap_ape_eu_ets_daily
2013-05-16,4.5,,,,,,,,,,icap_ape_eu_ets_daily
2013-05-17,4.61,,,,,,,,,,icap_ape_eu_ets_daily
2013-05-21,4.53,,,,,,,,,,icap_ape_eu_ets_daily
2013-05-23,4.15,,,,,,,,,,icap_ape_eu_ets_daily
2013-05-24,4.28,,,,,,,,,,icap_ape_eu_ets_daily
2013-05-27,4.43,,,,,,,,,,icap_ape_eu_ets_daily
2013-05-28,4.54,,,,,,,,,,icap_ape_eu_ets_daily
2013-05-30,4.74,,,,,,,,,,icap_ape_eu_ets_daily
2013-05-31,5.14,,,,,,,,,,icap_ape_eu_ets_daily
2013-06-03,5.01,,,,,,,,,,icap_ape_eu_ets_daily
2013-06-04,5.14,,,,,,,,,,icap_ape_eu_ets_daily
2013-06-06,5.14,,,,,,,,,,icap_ape_eu_ets_daily
2013-06-07,5.43,,,,,,,,,,icap_ape_eu_ets_daily
2013-06-10,5.46,,,,,,,,,,icap_ape_eu_ets_daily
2013-06-11,5.24,,,,,,,,,,icap_ape_eu_ets_daily
2013-06-13,6.0,,,,,,,,,,icap_ape_eu_ets_daily
2013-06-14,5.8,,,,,,,,,,icap_ape_eu_ets_daily
2013-06-17,6.13,,,,,,,,,,icap_ape_eu_ets_daily
2013-06-18,6.11,,,,,,,,,,icap_ape_eu_ets_daily
2013-06-20,5.67,,,,,,,,,,icap_ape_eu_ets_daily
2013-06-21,5.71,,,,,,,,,,icap_ape_eu_ets_daily
2013-06-24,5.53,,,,,,,,,,icap_ape_eu_ets_daily
2013-06-25,5.33,,,,,,,,,,icap_ape_eu_ets_daily
2013-06-27,5.68,,,,,,,,,,icap_ape_eu_ets_daily
2013-06-28,5.68,,,,,,,,,,icap_ape_eu_ets_daily
2013-07-01,5.31,,,,,,,,,,icap_ape_eu_ets_daily
2013-07-02,5.53,,,,,,,,,,icap_ape_eu_ets_daily
2013-07-04,5.95,,,,,,,,,,icap_ape_eu_ets_daily
2013-07-05,5.76,,,,,,,,,,icap_ape_eu_ets_daily
2013-07-08,5.44,,,,,,,,,,icap_ape_eu_ets_daily
2013-07-09,5.49,,,,,,,,,,icap_ape_eu_ets_daily
2013-07-11,5.31,,,,,,,,,,icap_ape_eu_ets_daily
2013-07-12,5.17,,,,,,,,,,icap_ape_eu_ets_daily
2013-07-15,5.22,,,,,,,,,,icap_ape_eu_ets_daily
2013-07-16,5.38,,,,,,,,,,icap_ape_eu_ets_daily
2013-07-18,5.36,,,,,,,,,,icap_ape_eu_ets_daily
2013-07-19,5.31,,,,,,,,,,icap_ape_eu_ets_daily
2013-07-22,5.36,,,,,,,,,,icap_ape_eu_ets_daily
2013-07-23,5.57,,,,,,,,,,icap_ape_eu_ets_daily
2013-07-25,5.62,,,,,,,,,,icap_ape_eu_ets_daily
2013-07-26,5.6,,,,,,,,,,icap_ape_eu_ets_daily
2013-07-29,5.55,,,,,,,,,,icap_ape_eu_ets_daily
2013-07-30,5.66,,,,,,,,,,icap_ape_eu_ets_daily
2013-08-01,5.8,,,,,,,,,,icap_ape_eu_ets_daily
2013-08-02,5.72,,,,,,,,,,icap_ape_eu_ets_daily
2013-08-05,5.86,,,,,,,,,,icap_ape_eu_ets_daily
2013-08-06,5.84,,,,,,,,,,icap_ape_eu_ets_daily
2013-08-08,5.9,,,,,,,,,,icap_ape_eu_ets_daily
2013-08-09,5.96,,,,,,,,,,icap_ape_eu_ets_daily
2013-08-12,5.86,,,,,,,,,,icap_ape_eu_ets_daily
2013-08-13,5.7,,,,,,,,,,icap_ape_eu_ets_daily
2013-08-16,5.76,,,,,,,,,,icap_ape_eu_ets_daily
2013-08-19,5.74,,,,,,,,,,icap_ape_eu_ets_daily
2013-08-20,5.7,,,,,,,,,,icap_ape_eu_ets_daily
2013-08-22,5.9,,,,,,,,,,icap_ape_eu_ets_daily
2013-08-23,5.98,,,,,,,,,,icap_ape_eu_ets_daily
2013-08-27,5.91,,,,,,,,,,icap_ape_eu_ets_daily
2013-08-29,6.08,,,,,,,,,,icap_ape_eu_ets_daily
2013-08-30,6.04,,,,,,,,,,icap_ape_eu_ets_daily
2013-09-02,5.99,,,,,,,,,,icap_ape_eu_ets_daily
2013-09-03,5.85,,,,,,,,,,icap_ape_eu_ets_daily
2013-09-05,6.34,,,,,,,,,,icap_ape_eu_ets_daily
2013-09-06,6.74,,,,,,,,,,icap_ape_eu_ets_daily
2013-09-09,7.18,,,,,,,,,,icap_ape_eu_ets_daily
2013-09-10,6.85,,,,,,,,,,icap_ape_eu_ets_daily
2013-09-12,7.07,,,,,,,,,,icap_ape_eu_ets_daily
2013-09-13,7.17,,,,,,,,,,icap_ape_eu_ets_daily
2013-09-16,7.23,,,,,,,,,,icap_ape_eu_ets_daily
2013-09-17,7.26,,,,,,,,,,icap_ape_eu_ets_daily
2013-09-19,7.21,,,,,,,,,,icap_ape_eu_ets_daily
2013-09-20,7.07,,,,,,,,,,icap_ape_eu_ets_daily
2013-09-23,7.17,,,,,,,,,,icap_ape_eu_ets_daily
2013-09-24,7.3,,,,,,,,,,icap_ape_eu_ets_daily
2013-09-26,7.11,,,,,,,,,,icap_ape_eu_ets_daily
2013-09-27,7.18,,,,,,,,,,icap_ape_eu_ets_daily
2013-09-30,6.87,,,,,,,,,,icap_ape_eu_ets_daily
2013-10-01,6.89,,,,,,,,,,icap_ape_eu_ets_daily
2013-10-04,6.98,,,,,,,,,,icap_ape_eu_ets_daily
2013-10-07,6.89,,,,,,,,,,icap_ape_eu_ets_daily
2013-10-08,6.65,,,,,,,,,,icap_ape_eu_ets_daily
2013-10-10,6.41,,,,,,,,,,icap_ape_eu_ets_daily
2013-10-11,6.24,,,,,,,,,,icap_ape_eu_ets_daily
2013-10-14,6.22,,,,,,,,,,icap_ape_eu_ets_daily
2013-10-15,6.91,,,,,,,,,,icap_ape_eu_ets_daily
2013-10-17,7.19,,,,,,,,,,icap_ape_eu_ets_daily
2013-10-18,7.01,,,,,,,,,,icap_ape_eu_ets_daily
2013-10-21,6.52,,,,,,,,,,icap_ape_eu_ets_daily
2013-10-22,6.33,,,,,,,,,,icap_ape_eu_ets_daily
2013-10-24,6.24,,,,,,,,,,icap_ape_eu_ets_daily
2013-10-25,6.29,,,,,,,,,,icap_ape_eu_ets_daily
2013-10-28,6.56,,,,,,,,,,icap_ape_eu_ets_daily
2013-10-29,6.52,,,,,,,,,,icap_ape_eu_ets_daily
2013-10-31,6.64,,,,,,,,,,icap_ape_eu_ets_daily
2013-11-01,6.25,,,,,,,,,,icap_ape_eu_ets_daily
2013-11-04,6.26,,,,,,,,,,icap_ape_eu_ets_daily
2013-11-05,6.34,,,,,,,,,,icap_ape_eu_ets_daily
2013-11-07,6.38,,,,,,,,,,icap_ape_eu_ets_daily
2013-11-08,6.45,,,,,,,,,,icap_ape_eu_ets_daily
2013-11-11,6.03,,,,,,,,,,icap_ape_eu_ets_daily
2013-11-12,6.17,,,,,,,,,,icap_ape_eu_ets_daily
2013-11-14,6.25,,,,,,,,,,icap_ape_eu_ets_daily
2013-11-15,6.02,,,,,,,,,,icap_ape_eu_ets_daily
2013-11-18,5.84,,,,,,,,,,icap_ape_eu_ets_daily
2013-11-19,5.99,,,,,,,,,,icap_ape_eu_ets_daily
2013-11-21,5.99,,,,,,,,,,icap_ape_eu_ets_daily
2013-11-22,6.04,,,,,,,,,,icap_ape_eu_ets_daily
2013-11-25,5.91,,,,,,,,,,icap_ape_eu_ets_daily
2013-11-26,5.95,,,,,,,,,,icap_ape_eu_ets_daily
2013-11-28,5.95,,,,,,,,,,icap_ape_eu_ets_daily
2013-11-29,5.88,,,,,,,,,,icap_ape_eu_ets_daily
2013-12-02,5.97,,,,,,,,,,icap_ape_eu_ets_daily
2013-12-03,6.13,,,,,,,,,,icap_ape_eu_ets_daily
2013-12-05,6.15,,,,,,,,,,icap_ape_eu_ets_daily
2013-12-06,6.44,,,,,,,,,,icap_ape_eu_ets_daily
2013-12-09,6.37,,,,,,,,,,icap_ape_eu_ets_daily
2013-12-10,6.58,,,,,,,,,,icap_ape_eu_ets_daily
2013-12-12,6.54,,,,,,,,,,icap_ape_eu_ets_daily
2013-12-13,6.63,,,,,,,,,,icap_ape_eu_ets_daily
2013-12-16,6.43,,,,,,,,,,icap_ape_eu_ets_daily
2013-12-17,6.44,,,,,,,,,,icap_ape_eu_ets_daily
2014-01-07,6.33,,,,,,,,,,icap_ape_eu_ets_daily
2014-01-08,6.38,,,,,,,,,,icap_ape_eu_ets_daily
2014-01-09,6.21,,,,,,,,,,icap_ape_eu_ets_daily
2014-01-10,6.06,,,,,,,,,,icap_ape_eu_ets_daily
2014-01-13,6.15,,,,,,,,,,icap_ape_eu_ets_daily
2014-01-14,6.44,,,,,,,,,,icap_ape_eu_ets_daily
2014-01-16,6.82,,,,,,,,,,icap_ape_eu_ets_daily
2014-01-17,6.86,,,,,,,,,,icap_ape_eu_ets_daily
2014-01-20,6.87,,,,,,,,,,icap_ape_eu_ets_daily
2014-01-21,6.71,,,,,,,,,,icap_ape_eu_ets_daily
2014-01-23,6.83,,,,,,,,,,icap_ape_eu_ets_daily
2014-01-24,6.76,,,,,,,,,,icap_ape_eu_ets_daily
2014-01-27,7.27,,,,,,,,,,icap_ape_eu_ets_daily
2014-01-28,7.44,,,,,,,,,,icap_ape_eu_ets_daily
2014-01-30,7.55,,,,,,,,,,icap_ape_eu_ets_daily
2014-01-31,7.62,,,,,,,,,,icap_ape_eu_ets_daily
2014-02-03,7.48,,,,,,,,,,icap_ape_eu_ets_daily
2014-02-04,8.1,,,,,,,,,,icap_ape_eu_ets_daily
2014-02-05,8.15,,,,,,,,,,icap_ape_eu_ets_daily
2014-02-06,8.21,,,,,,,,,,icap_ape_eu_ets_daily
2014-02-07,8.81,,,,,,,,,,icap_ape_eu_ets_daily
2014-02-10,8.66,,,,,,,,,,icap_ape_eu_ets_daily
2014-02-11,8.6,,,,,,,,,,icap_ape_eu_ets_daily
2014-02-13,8.48,,,,,,,,,,icap_ape_eu_ets_daily
2014-02-14,8.62,,,,,,,,,,icap_ape_eu_ets_daily
2014-02-17,9.15,,,,,,,,,,icap_ape_eu_ets_daily
2014-02-18,9.21,,,,,,,,,,icap_ape_eu_ets_daily
2014-02-20,9.45,,,,,,,,,,icap_ape_eu_ets_daily
2014-02-21,9.36,,,,,,,,,,icap_ape_eu_ets_daily
