Day,Month,Year,"VLSFO Fuel Oil, IMO 2020 Grade, 0.5%",Marine Gas Oil,"Intermdiate Fuel Oil, 180cSt","Intermdiate Fuel Oil, 380cSt"
09/16/2019,September,2019,,662.0,486.0,455.0
09/17/2019,September,2019,,682.0,533.0,500.0
09/18/2019,September,2019,,682.5,542.5,502.0
09/19/2019,September,2019,,669.5,525.5,485.5
09/20/2019,September,2019,,672.5,532.0,488.5
09/23/2019,September,2019,,671.0,518.0,482.0
09/24/2019,September,2019,,670.5,511.5,462.0
09/25/2019,September,2019,,662.0,487.5,452.0
09/26/2019,September,2019,,657.0,487.0,455.0
09/27/2019,September,2019,,658.5,487.0,455.5
09/30/2019,September,2019,,655.5,469.5,435.5
10/01/2019,October,2019,,652.5,452.0,420.5
10/02/2019,October,2019,,647.0,450.5,410.5
10/03/2019,October,2019,,641.5,444.0,406.5
10/04/2019,October,2019,,641.0,443.0,407.0
10/07/2019,October,2019,542.0,641.0,435.0,401.0
10/08/2019,October,2019,540.0,641.0,422.0,388.5
10/09/2019,October,2019,543.0,642.5,418.0,385.5
10/10/2019,October,2019,543.5,642.5,420.5,385.0
10/11/2019,October,2019,550.5,645.5,423.0,390.5
10/14/2019,October,2019,550.5,647.0,416.0,383.0
10/15/2019,October,2019,544.0,644.0,407.0,374.0
10/16/2019,October,2019,546.5,641.5,400.0,369.5
10/17/2019,October,2019,548.0,644.5,402.0,369.5
10/18/2019,October,2019,551.5,645.0,400.5,368.0
10/21/2019,October,2019,552.5,644.5,397.5,363.0
10/22/2019,October,2019,553.0,642.5,391.5,361.0
10/23/2019,October,2019,550.5,643.5,393.5,364.0
10/24/2019,October,2019,554.5,646.5,398.0,368.5
10/25/2019,October,2019,560.5,649.5,400.0,370.5
10/28/2019,October,2019,561.0,652.0,390.5,371.5
10/29/2019,October,2019,562.5,649.5,392.0,368.5
10/30/2019,October,2019,560.5,648.0,393.0,367.0
10/31/2019,October,2019,555.5,645.5,391.5,366.0
11/01/2019,November,2019,556.5,643.5,395.0,369.0
11/04/2019,November,2019,564.5,646.5,397.0,373.5
11/05/2019,November,2019,564.0,652.0,395.5,373.5
11/06/2019,November,2019,565.0,651.0,394.0,371.0
11/07/2019,November,2019,563.5,648.5,389.0,365.0
11/08/2019,November,2019,560.5,645.5,386.0,359.5
11/11/2019,November,2019,559.5,642.5,382.5,356.5
11/12/2019,November,2019,560.5,644.0,373.0,353.0
11/13/2019,November,2019,559.0,644.0,376.5,348.5
11/14/2019,November,2019,559.5,642.0,371.0,343.5
11/15/2019,November,2019,558.5,642.0,371.0,331.5
11/18/2019,November,2019,563.0,646.0,373.5,333.5
11/19/2019,November,2019,558.5,642.0,369.5,328.5
11/20/2019,November,2019,554.0,638.0,362.5,324.5
11/21/2019,November,2019,554.5,641.5,366.0,326.5
11/22/2019,November,2019,560.5,645.0,365.5,328.5
11/25/2019,November,2019,561.5,646.5,367.5,331.5
11/26/2019,November,2019,564.0,651.0,367.0,330.0
11/27/2019,November,2019,564.5,652.0,370.5,330.5
11/28/2019,November,2019,564.5,651.5,368.0,331.5
11/29/2019,November,2019,563.5,653.0,366.0,327.0
12/02/2019,December,2019,561.5,649.0,362.5,325.5
12/03/2019,December,2019,561.5,647.5,360.5,324.0
12/04/2019,December,2019,565.0,647.5,363.5,330.0
12/05/2019,December,2019,568.5,648.5,366.5,331.5
12/06/2019,December,2019,575.0,651.0,368.5,334.5
12/09/2019,December,2019,579.5,653.5,374.0,338.0
12/10/2019,December,2019,583.0,655.0,382.0,343.0
12/11/2019,December,2019,588.0,655.5,381.5,345.0
12/12/2019,December,2019,592.0,654.5,383.0,344.5
12/13/2019,December,2019,599.5,660.5,384.5,347.5
12/16/2019,December,2019,607.5,667.0,392.5,348.5
12/17/2019,December,2019,616.5,672.5,390.5,349.0
12/18/2019,December,2019,627.5,678.0,393.5,349.5
12/19/2019,December,2019,637.5,679.0,387.5,352.5
12/20/2019,December,2019,644.5,685.0,396.0,356.0
12/23/2019,December,2019,648.0,689.0,396.5,363.0
12/24/2019,December,2019,650.5,691.0,399.0,367.0
12/25/2019,December,2019,650.5,691.0,399.0,367.0
12/26/2019,December,2019,655.0,690.0,399.0,366.5
12/27/2019,December,2019,661.5,698.0,393.5,365.5
12/30/2019,December,2019,670.5,705.0,394.5,365.0
12/31/2019,December,2019,672.0,709.5,389.0,365.0
01/01/2020,January,2020,672.0,709.5,,365.5
01/02/2020,January,2020,677.5,715.5,383.0,362.5
01/03/2020,January,2020,684.0,716.0,392.5,370.5
01/06/2020,January,2020,694.0,722.5,385.0,381.0
01/07/2020,January,2020,691.5,717.0,386.5,377.0
01/08/2020,January,2020,693.5,718.0,392.5,379.5
01/09/2020,January,2020,688.5,713.0,389.5,377.5
01/10/2020,January,2020,681.5,705.5,391.0,378.5
01/13/2020,January,2020,673.0,698.5,379.5,377.0
01/14/2020,January,2020,666.0,694.0,372.5,376.0
01/15/2020,January,2020,658.0,684.5,366.5,370.5
01/16/2020,January,2020,651.5,683.0,364.0,369.0
01/17/2020,January,2020,646.0,678.5,366.0,367.5
01/20/2020,January,2020,647.5,676.5,371.0,369.5
01/21/2020,January,2020,645.5,676.5,367.0,369.0
01/22/2020,January,2020,643.0,669.5,355.5,366.5
01/23/2020,January,2020,633.5,664.5,367.0,366.0
01/24/2020,January,2020,631.0,659.5,362.0,367.5
01/27/2020,January,2020,619.5,649.5,353.5,364.5
01/28/2020,January,2020,608.5,634.5,355.0,361.0
01/29/2020,January,2020,604.0,634.0,351.5,357.0
01/30/2020,January,2020,595.5,626.0,347.0,353.0
01/31/2020,January,2020,593.0,621.0,347.0,350.5
02/03/2020,February,2020,577.5,609.5,353.0,343.0
02/04/2020,February,2020,561.5,604.0,357.5,341.0
02/05/2020,February,2020,558.5,602.5,355.5,344.5
02/06/2020,February,2020,560.5,605.5,360.0,345.0
02/07/2020,February,2020,557.5,597.5,359.0,344.5
02/10/2020,February,2020,552.0,597.5,340.5,341.5
02/11/2020,February,2020,550.0,593.0,341.5,340.0
02/12/2020,February,2020,544.5,595.0,313.5,341.5
02/13/2020,February,2020,544.0,597.0,335.5,343.5
02/14/2020,February,2020,538.0,589.5,337.5,346.5
02/17/2020,February,2020,536.5,590.0,339.5,346.5
02/18/2020,February,2020,534.0,587.0,336.0,344.5
02/19/2020,February,2020,532.0,584.0,338.5,345.0
02/20/2020,February,2020,529.5,586.5,342.5,349.0
02/21/2020,February,2020,526.5,584.5,327.0,346.5
02/24/2020,February,2020,516.5,578.5,325.0,342.5
02/25/2020,February,2020,511.0,571.5,322.5,342.5
02/26/2020,February,2020,497.0,560.5,321.5,335.0
02/27/2020,February,2020,479.5,550.5,310.5,331.0
02/28/2020,February,2020,467.0,537.0,303.5,326.0
03/02/2020,March,2020,466.5,540.5,304.5,332.0
03/03/2020,March,2020,460.0,529.5,295.0,329.5
03/04/2020,March,2020,459.0,538.0,,331.5
03/05/2020,March,2020,455.5,536.5,,329.0
03/06/2020,March,2020,443.0,526.0,,326.0
03/09/2020,March,2020,396.5,495.5,,285.5
03/10/2020,March,2020,382.0,470.0,,277.5
03/11/2020,March,2020,381.0,465.5,,271.0
03/12/2020,March,2020,368.0,458.5,,264.0
03/13/2020,March,2020,361.5,448.5,,262.0
03/16/2020,March,2020,341.0,435.5,,255.0
03/17/2020,March,2020,333.5,423.0,,249.5
03/18/2020,March,2020,310.5,405.5,,236.5
03/19/2020,March,2020,296.0,390.0,,225.0
03/20/2020,March,2020,303.0,398.5,,231.5
03/23/2020,March,2020,284.0,386.5,,224.5
03/24/2020,March,2020,287.0,384.0,,225.5
03/25/2020,March,2020,291.5,390.5,,216.0
03/26/2020,March,2020,285.0,385.0,,223.0
03/27/2020,March,2020,283.5,377.5,,216.5
03/30/2020,March,2020,274.5,369.5,,209.5
03/31/2020,March,2020,272.0,366.5,,204.0
04/01/2020,April,2020,268.0,359.0,,203.0
04/02/2020,April,2020,263.5,352.0,,198.0
04/03/2020,April,2020,270.5,356.5,,207.5
04/06/2020,April,2020,277.5,364.0,,215.5
04/07/2020,April,2020,279.0,363.0,,217.5
04/08/2020,April,2020,275.5,359.0,,215.0
04/09/2020,April,2020,277.0,356.0,,213.0
04/10/2020,April,2020,274.5,353.0,,214.5
04/13/2020,April,2020,272.0,351.5,,211.0
04/14/2020,April,2020,271.5,346.0,,209.0
04/15/2020,April,2020,263.0,338.0,,207.5
04/16/2020,April,2020,257.5,333.0,,198.5
04/17/2020,April,2020,260.5,326.0,,205.0
04/20/2020,April,2020,259.0,323.5,,193.0
04/21/2020,April,2020,241.5,314.5,,180.0
04/22/2020,April,2020,221.5,295.5,,169.0
04/23/2020,April,2020,225.0,289.5,,164.5
04/24/2020,April,2020,223.5,286.0,,164.0
04/27/2020,April,2020,219.5,279.0,,165.0
04/28/2020,April,2020,210.0,268.5,,160.0
04/29/2020,April,2020,212.5,271.5,,157.5
04/30/2020,April,2020,224.0,276.5,,163.5
05/01/2020,May,2020,228.0,285.5,,162.5
05/04/2020,May,2020,223.0,283.5,,169.5
05/05/2020,May,2020,233.0,287.0,,174.5
05/06/2020,May,2020,242.5,298.5,,179.0
05/07/2020,May,2020,243.0,299.0,,180.5
05/08/2020,May,2020,244.5,304.0,,186.5
05/11/2020,May,2020,246.0,303.0,,189.0
05/12/2020,May,2020,247.0,301.0,,184.5
05/13/2020,May,2020,242.0,298.5,,184.5
05/14/2020,May,2020,243.0,297.0,,181.5
05/15/2020,May,2020,250.0,300.0,,189.5
05/18/2020,May,2020,266.5,317.0,,201.5
05/19/2020,May,2020,275.5,325.5,,212.0
05/20/2020,May,2020,280.0,333.5,,216.0
05/21/2020,May,2020,282.0,333.5,,215.0
05/22/2020,May,2020,280.5,337.0,,220.5
05/25/2020,May,2020,284.5,339.5,,222.0
05/26/2020,May,2020,287.5,346.0,,221.5
05/27/2020,May,2020,289.0,344.5,,222.0
05/28/2020,May,2020,282.0,343.5,,218.0
05/29/2020,May,2020,281.0,346.5,,217.5
06/01/2020,June,2020,289.5,344.0,,221.0
06/02/2020,June,2020,296.0,350.5,,232.0
06/03/2020,June,2020,302.5,359.0,,244.0
06/04/2020,June,2020,302.0,358.0,,238.5
06/05/2020,June,2020,307.0,361.0,,249.0
06/08/2020,June,2020,322.0,372.0,,257.5
06/09/2020,June,2020,320.0,373.0,,258.0
06/10/2020,June,2020,321.5,381.5,,261.0
06/11/2020,June,2020,320.0,383.5,,259.0
06/12/2020,June,2020,313.5,377.5,,257.0
06/15/2020,June,2020,311.0,376.0,,253.0
06/16/2020,June,2020,317.0,380.0,,253.5
06/17/2020,June,2020,323.0,387.5,,255.5
06/18/2020,June,2020,324.5,389.0,,256.5
06/19/2020,June,2020,331.5,396.5,,263.5
06/22/2020,June,2020,333.0,400.5,,266.5
06/23/2020,June,2020,337.5,404.5,,271.0
06/24/2020,June,2020,335.0,405.0,,269.5
06/25/2020,June,2020,328.0,397.0,,262.5
06/26/2020,June,2020,328.0,397.5,,263.0
06/29/2020,June,2020,325.5,396.0,,262.5
06/30/2020,June,2020,326.5,394.5,,261.5
07/01/2020,July,2020,331.0,398.0,,266.0
07/02/2020,July,2020,333.5,400.0,,266.0
07/03/2020,July,2020,337.0,405.5,,269.0
07/06/2020,July,2020,340.5,408.5,,275.0
07/07/2020,July,2020,341.0,412.0,,273.5
07/08/2020,July,2020,341.0,411.5,,281.0
07/09/2020,July,2020,342.0,412.0,,266.0
07/10/2020,July,2020,338.0,410.0,,282.0
07/13/2020,July,2020,340.5,412.5,,280.5
07/14/2020,July,2020,338.5,410.5,,280.0
07/15/2020,July,2020,338.5,409.5,,281.0
07/16/2020,July,2020,340.0,412.0,,282.0
07/17/2020,July,2020,340.5,414.0,,282.0
07/20/2020,July,2020,338.5,410.5,,282.0
07/21/2020,July,2020,344.0,413.5,,284.0
07/22/2020,July,2020,348.0,419.5,,285.5
07/23/2020,July,2020,350.0,422.5,,286.5
07/24/2020,July,2020,347.5,420.5,,286.5
07/27/2020,July,2020,346.5,419.0,,286.0
07/28/2020,July,2020,345.5,418.0,,286.0
07/29/2020,July,2020,347.0,419.0,,287.5
07/30/2020,July,2020,345.5,418.5,,286.5
07/31/2020,July,2020,343.0,413.5,,288.0
08/03/2020,August,2020,343.5,412.5,,286.0
08/04/2020,August,2020,343.5,413.5,,286.0
08/05/2020,August,2020,349.0,417.0,,290.5
08/06/2020,August,2020,349.5,419.0,,292.5
08/07/2020,August,2020,350.0,419.0,,292.5
08/10/2020,August,2020,347.5,416.0,,294.0
08/11/2020,August,2020,349.0,421.0,,294.5
08/12/2020,August,2020,351.0,419.5,,294.0
08/13/2020,August,2020,351.0,420.5,,295.0
08/14/2020,August,2020,350.0,419.5,,295.5
08/17/2020,August,2020,351.5,418.5,,295.5
08/18/2020,August,2020,354.5,417.5,,297.5
08/19/2020,August,2020,354.0,420.0,,298.5
08/20/2020,August,2020,353.0,418.0,,298.5
08/21/2020,August,2020,351.0,418.5,,297.0
08/24/2020,August,2020,349.5,416.5,,297.5
08/25/2020,August,2020,353.5,419.5,,299.5
08/26/2020,August,2020,356.0,421.0,,301.5
08/27/2020,August,2020,355.5,419.0,,302.5
08/28/2020,August,2020,351.5,418.0,,301.0
08/31/2020,August,2020,354.5,418.5,,301.0
09/01/2020,September,2020,355.0,416.5,,301.0
09/02/2020,September,2020,355.5,419.0,,301.5
09/03/2020,September,2020,347.5,410.5,,296.0
09/04/2020,September,2020,344.5,406.0,,294.5
09/07/2020,September,2020,339.0,403.5,,289.0
09/08/2020,September,2020,333.5,397.5,,287.0
09/09/2020,September,2020,326.0,387.0,,278.5
09/10/2020,September,2020,325.5,387.0,,278.5
09/11/2020,September,2020,323.5,383.5,,274.0
09/14/2020,September,2020,324.5,386.0,,275.5
09/15/2020,September,2020,323.0,381.0,,274.5
09/16/2020,September,2020,329.0,383.5,,278.0
09/17/2020,September,2020,331.0,385.0,,278.0
09/18/2020,September,2020,337.0,390.5,,284.0
09/21/2020,September,2020,334.5,392.0,,283.5
09/22/2020,September,2020,330.0,384.0,,279.0
09/23/2020,September,2020,330.0,388.5,,278.5
09/24/2020,September,2020,329.5,387.0,,277.0
09/25/2020,September,2020,331.5,384.0,,279.0
09/28/2020,September,2020,331.0,385.5,,280.0
09/29/2020,September,2020,334.0,387.5,,280.5
09/30/2020,September,2020,333.5,385.5,,279.5
10/01/2020,October,2020,335.0,388.0,,282.5
10/02/2020,October,2020,331.5,383.5,,277.0
10/05/2020,October,2020,331.5,387.5,,276.5
10/06/2020,October,2020,335.0,385.5,,279.5
10/07/2020,October,2020,339.5,395.0,,281.5
10/08/2020,October,2020,340.0,395.5,,282.5
10/09/2020,October,2020,342.5,401.5,,285.0
10/12/2020,October,2020,342.0,403.5,,285.5
10/13/2020,October,2020,341.5,400.0,,285.0
10/14/2020,October,2020,341.0,400.0,,288.0
10/15/2020,October,2020,343.5,404.0,,289.0
10/16/2020,October,2020,342.5,401.0,,289.5
10/19/2020,October,2020,341.5,400.5,,289.5
10/20/2020,October,2020,340.5,398.5,,290.5
10/21/2020,October,2020,339.0,399.5,,290.5
10/22/2020,October,2020,339.0,393.5,,290.0
10/23/2020,October,2020,339.5,397.0,,291.5
10/26/2020,October,2020,335.5,392.5,,287.5
10/27/2020,October,2020,333.0,386.0,,285.0
10/28/2020,October,2020,332.0,383.5,,284.0
10/29/2020,October,2020,327.0,382.0,,280.5
10/30/2020,October,2020,324.0,378.5,,275.5
11/02/2020,November,2020,318.5,372.0,,273.5
11/03/2020,November,2020,327.0,381.0,,279.5
11/04/2020,November,2020,331.0,382.0,,281.0
11/05/2020,November,2020,335.5,385.5,,285.0
11/06/2020,November,2020,335.5,388.0,,285.0
11/09/2020,November,2020,340.5,388.0,,287.0
11/10/2020,November,2020,350.0,399.5,,295.0
11/11/2020,November,2020,361.5,410.5,,302.5
11/12/2020,November,2020,361.5,413.5,,303.5
11/13/2020,November,2020,357.5,409.5,,301.5
11/16/2020,November,2020,359.0,410.5,,301.5
11/17/2020,November,2020,361.0,416.0,,302.5
11/18/2020,November,2020,361.5,412.0,,302.5
11/19/2020,November,2020,361.5,412.5,,303.5
11/20/2020,November,2020,363.0,416.0,,303.0
11/23/2020,November,2020,369.0,419.5,,307.0
11/24/2020,November,2020,375.0,425.0,,309.5
11/25/2020,November,2020,383.0,432.0,,315.0
11/26/2020,November,2020,385.5,437.5,,317.5
11/27/2020,November,2020,385.0,438.5,,317.0
11/30/2020,November,2020,386.5,437.5,,316.0
12/01/2020,December,2020,389.0,443.5,,316.5
12/02/2020,December,2020,386.0,439.5,,316.0
12/03/2020,December,2020,390.0,443.0,,318.5
12/04/2020,December,2020,395.0,449.5,,324.5
12/07/2020,December,2020,395.0,449.0,,323.0
12/08/2020,December,2020,396.0,453.0,,322.0
12/09/2020,December,2020,397.5,452.5,,323.5
12/10/2020,December,2020,400.0,454.0,,322.5
12/11/2020,December,2020,403.5,455.5,,326.5
12/14/2020,December,2020,406.0,460.0,,328.0
12/15/2020,December,2020,406.5,463.0,,329.0
12/16/2020,December,2020,408.0,466.5,,330.0
12/17/2020,December,2020,414.5,467.5,,333.0
12/18/2020,December,2020,414.5,472.0,,334.5
12/21/2020,December,2020,412.0,469.5,,332.0
12/22/2020,December,2020,411.0,466.5,,330.0
12/23/2020,December,2020,410.5,467.0,,329.0
12/24/2020,December,2020,416.0,470.5,,331.5
12/25/2020,December,2020,416.0,470.5,,331.5
12/28/2020,December,2020,421.5,474.0,,333.0
12/29/2020,December,2020,421.5,476.0,,333.5
12/30/2020,December,2020,422.0,475.5,,333.5
12/31/2020,December,2020,421.0,480.0,,341.5
01/01/2021,January,2021,421.0,480.0,,341.5
01/04/2021,January,2021,426.0,482.5,,338.0
01/05/2021,January,2021,424.5,475.5,,335.0
01/06/2021,January,2021,430.5,482.5,,342.5
01/07/2021,January,2021,434.0,484.5,,348.0
01/08/2021,January,2021,436.5,485.5,,350.5
01/11/2021,January,2021,444.5,493.0,,355.0
01/12/2021,January,2021,450.0,496.5,,358.0
01/13/2021,January,2021,453.5,500.5,,362.0
01/14/2021,January,2021,455.5,503.5,,360.0
01/15/2021,January,2021,455.0,504.5,,359.5
01/18/2021,January,2021,452.5,501.5,,356.5
01/19/2021,January,2021,455.0,500.5,,355.5
01/20/2021,January,2021,457.5,503.5,,358.5
01/21/2021,January,2021,457.5,508.0,,358.0
01/22/2021,January,2021,455.0,505.5,,356.0
01/25/2021,January,2021,454.0,503.0,,356.5
01/26/2021,January,2021,455.5,503.0,,356.0
01/27/2021,January,2021,457.0,505.0,,358.0
01/28/2021,January,2021,455.5,502.5,,360.0
01/29/2021,January,2021,454.5,506.0,,354.0
02/01/2021,February,2021,455.5,506.5,,355.5
02/02/2021,February,2021,462.5,508.5,,361.0
02/03/2021,February,2021,467.5,518.0,,365.5
02/04/2021,February,2021,473.0,522.0,,369.0
02/05/2021,February,2021,477.0,525.0,,371.0
02/08/2021,February,2021,482.5,529.5,,375.0
02/09/2021,February,2021,488.5,537.5,,378.5
02/10/2021,February,2021,492.5,540.5,,380.0
02/11/2021,February,2021,494.0,543.0,,380.0
02/12/2021,February,2021,494.0,543.5,,380.0
02/15/2021,February,2021,500.5,550.5,,388.0
02/16/2021,February,2021,504.5,553.0,,391.5
02/17/2021,February,2021,507.0,554.5,,391.5
02/18/2021,February,2021,512.0,559.5,,396.0
02/19/2021,February,2021,507.5,567.0,,393.0
02/22/2021,February,2021,509.0,565.5,,392.5
