period,report_date,report_year,chart_series,panel,period_label,value_usd_per_day,is_latest,source_file
2021-09,2022-07-01,2022,1y_tc,Aframax 1y TC,Sep-21,18700,1,xclusiv_2022_xclusiv_weekly_2022_07_01.tables.json
2021-10,2021-10-18,2021,1y_tc,Aframax 1y TC,Oct-21,15000,0,xclusiv_2021_xclusiv_weekly_2021_10_18.tables.json
2021-10,2023-06-26,2023,1y_tc,Aframax 1y TC,Oct-21,17500,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2021-11,2022-07-01,2022,1y_tc,Aframax 1y TC,Nov-21,19500,0,xclusiv_2022_xclusiv_weekly_2022_07_01.tables.json
2021-11,2023-06-26,2023,1y_tc,Aframax 1y TC,Nov-21,19500,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2021-12,2023-06-26,2023,1y_tc,Aframax 1y TC,Dec-21,19500,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2022-01,2022-07-01,2022,1y_tc,Aframax 1y TC,Jan-22,18600,0,xclusiv_2022_xclusiv_weekly_2022_07_01.tables.json
2022-01,2023-06-26,2023,1y_tc,Aframax 1y TC,Jan-22,19500,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2022-02,2023-06-26,2023,1y_tc,Aframax 1y TC,Feb-22,18500,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2022-03,2022-07-01,2022,1y_tc,Aframax 1y TC,Mar-22,18500,0,xclusiv_2022_xclusiv_weekly_2022_07_01.tables.json
2022-03,2023-06-26,2023,1y_tc,Aframax 1y TC,Mar-22,22500,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2022-04,2023-06-26,2023,1y_tc,Aframax 1y TC,Apr-22,21500,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2022-05,2022-07-01,2022,1y_tc,Aframax 1y TC,May-22,21500,0,xclusiv_2022_xclusiv_weekly_2022_07_01.tables.json
2022-05,2023-06-26,2023,1y_tc,Aframax 1y TC,May-22,24500,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2022-06,2023-06-26,2023,1y_tc,Aframax 1y TC,Jun-22,25500,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2022-07,2022-07-01,2022,1y_tc,Aframax 1y TC,Jul-22,26500,0,xclusiv_2022_xclusiv_weekly_2022_07_01.tables.json
2022-07,2023-06-26,2023,1y_tc,Aframax 1y TC,Jul-22,26000,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2022-08,2023-06-26,2023,1y_tc,Aframax 1y TC,Aug-22,27500,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2022-09,2023-06-26,2023,1y_tc,Aframax 1y TC,Sep-22,31000,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2022-10,2023-06-26,2023,1y_tc,Aframax 1y TC,Oct-22,37500,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2022-11,2023-06-26,2023,1y_tc,Aframax 1y TC,Nov-22,36000,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2022-12,2023-06-26,2023,1y_tc,Aframax 1y TC,Dec-22,45000,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2023-01,2023-06-26,2023,1y_tc,Aframax 1y TC,Jan-23,49000,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2023-02,2023-06-26,2023,1y_tc,Aframax 1y TC,Feb-23,45500,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2023-03,2023-06-26,2023,1y_tc,Aframax 1y TC,Mar-23,48500,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2023-04,2023-06-26,2023,1y_tc,Aframax 1y TC,Apr-23,57500,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2023-05,2023-06-26,2023,1y_tc,Aframax 1y TC,May-23,55500,0,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2023-05,2024-07-01,2024,1y_tc,Aframax 1y TC,May-23,50400,1,xclusiv_2024_xclusiv-2024_07_01.tables.json
2023-06,2023-06-26,2023,1y_tc,Aframax 1y TC,Jun-23,50000,0,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2023-06,2024-07-01,2024,1y_tc,Aframax 1y TC,Jun-23,46100,1,xclusiv_2024_xclusiv-2024_07_01.tables.json
2023-07,2024-07-01,2024,1y_tc,Aframax 1y TC,Jul-23,49300,1,xclusiv_2024_xclusiv-2024_07_01.tables.json
2023-08,2024-07-01,2024,1y_tc,Aframax 1y TC,Aug-23,46100,1,xclusiv_2024_xclusiv-2024_07_01.tables.json
2023-09,2024-07-01,2024,1y_tc,Aframax 1y TC,Sep-23,41800,1,xclusiv_2024_xclusiv-2024_07_01.tables.json
2023-10,2024-07-01,2024,1y_tc,Aframax 1y TC,Oct-23,41200,1,xclusiv_2024_xclusiv-2024_07_01.tables.json
2023-11,2024-07-01,2024,1y_tc,Aframax 1y TC,Nov-23,44800,1,xclusiv_2024_xclusiv-2024_07_01.tables.json
2023-12,2024-07-01,2024,1y_tc,Aframax 1y TC,Dec-23,45600,1,xclusiv_2024_xclusiv-2024_07_01.tables.json
2024-01,2024-07-01,2024,1y_tc,Aframax 1y TC,Jan-24,47200,1,xclusiv_2024_xclusiv-2024_07_01.tables.json
2024-02,2024-07-01,2024,1y_tc,Aframax 1y TC,Feb-24,47500,1,xclusiv_2024_xclusiv-2024_07_01.tables.json
2024-03,2024-07-01,2024,1y_tc,Aframax 1y TC,Mar-24,47400,1,xclusiv_2024_xclusiv-2024_07_01.tables.json
2024-04,2024-07-01,2024,1y_tc,Aframax 1y TC,Apr-24,47500,1,xclusiv_2024_xclusiv-2024_07_01.tables.json
2024-05,2024-07-01,2024,1y_tc,Aframax 1y TC,May-24,51600,1,xclusiv_2024_xclusiv-2024_07_01.tables.json
2024-06,2024-07-01,2024,1y_tc,Aframax 1y TC,Jun-24,50700,0,xclusiv_2024_xclusiv-2024_07_01.tables.json
2024-06,2025-06-23,2025,1y_tc,Aframax 1y TC,Jun-24,51700,1,xclusiv_2025_xclusiv-2025_06_23.tables.json
2024-07,2025-06-23,2025,1y_tc,Aframax 1y TC,Jul-24,49500,1,xclusiv_2025_xclusiv-2025_06_23.tables.json
2024-08,2025-06-23,2025,1y_tc,Aframax 1y TC,Aug-24,46500,1,xclusiv_2025_xclusiv-2025_06_23.tables.json
2024-09,2025-06-23,2025,1y_tc,Aframax 1y TC,Sep-24,41100,1,xclusiv_2025_xclusiv-2025_06_23.tables.json
2024-10,2025-06-23,2025,1y_tc,Aframax 1y TC,Oct-24,43600,1,xclusiv_2025_xclusiv-2025_06_23.tables.json
2024-11,2025-06-23,2025,1y_tc,Aframax 1y TC,Nov-24,37800,1,xclusiv_2025_xclusiv-2025_06_23.tables.json
2024-12,2025-06-23,2025,1y_tc,Aframax 1y TC,Dec-24,32700,1,xclusiv_2025_xclusiv-2025_06_23.tables.json
2025-01,2025-06-23,2025,1y_tc,Aframax 1y TC,Jan-25,31200,1,xclusiv_2025_xclusiv-2025_06_23.tables.json
2025-02,2025-06-23,2025,1y_tc,Aframax 1y TC,Feb-25,32000,1,xclusiv_2025_xclusiv-2025_06_23.tables.json
2025-03,2025-06-23,2025,1y_tc,Aframax 1y TC,Mar-25,30000,1,xclusiv_2025_xclusiv-2025_06_23.tables.json
2025-04,2025-06-23,2025,1y_tc,Aframax 1y TC,Apr-25,32100,1,xclusiv_2025_xclusiv-2025_06_23.tables.json
2025-05,2025-06-23,2025,1y_tc,Aframax 1y TC,May-25,33100,1,xclusiv_2025_xclusiv-2025_06_23.tables.json
2019-10,2021-10-18,2021,1y_tc,LR1 1y TC,Oct-19,17000,1,xclusiv_2021_xclusiv_weekly_2021_10_18.tables.json
2020-01,2021-10-18,2021,1y_tc,LR1 1y TC,Jan-20,19000,1,xclusiv_2021_xclusiv_weekly_2021_10_18.tables.json
2020-04,2021-10-18,2021,1y_tc,LR1 1y TC,Apr-20,20000,1,xclusiv_2021_xclusiv_weekly_2021_10_18.tables.json
2020-07,2021-10-18,2021,1y_tc,LR1 1y TC,Jul-20,17000,1,xclusiv_2021_xclusiv_weekly_2021_10_18.tables.json
2020-10,2021-10-18,2021,1y_tc,LR1 1y TC,Oct-20,15000,1,xclusiv_2021_xclusiv_weekly_2021_10_18.tables.json
2020-11,2022-07-01,2022,1y_tc,LR1 1y TC,Nov-20,15000,1,xclusiv_2022_xclusiv_weekly_2022_07_01.tables.json
2021-01,2021-10-18,2021,1y_tc,LR1 1y TC,Jan-21,14000,0,xclusiv_2021_xclusiv_weekly_2021_10_18.tables.json
2021-01,2022-07-01,2022,1y_tc,LR1 1y TC,Jan-21,15000,1,xclusiv_2022_xclusiv_weekly_2022_07_01.tables.json
2021-03,2022-07-01,2022,1y_tc,LR1 1y TC,Mar-21,14000,1,xclusiv_2022_xclusiv_weekly_2022_07_01.tables.json
2021-04,2021-10-18,2021,1y_tc,LR1 1y TC,Apr-21,15000,1,xclusiv_2021_xclusiv_weekly_2021_10_18.tables.json
2021-05,2022-07-01,2022,1y_tc,LR1 1y TC,May-21,14500,1,xclusiv_2022_xclusiv_weekly_2022_07_01.tables.json
2021-07,2021-10-18,2021,1y_tc,LR1 1y TC,Jul-21,15000,0,xclusiv_2021_xclusiv_weekly_2021_10_18.tables.json
2021-07,2022-07-01,2022,1y_tc,LR1 1y TC,Jul-21,16700,1,xclusiv_2022_xclusiv_weekly_2022_07_01.tables.json
2021-09,2022-07-01,2022,1y_tc,LR1 1y TC,Sep-21,16700,1,xclusiv_2022_xclusiv_weekly_2022_07_01.tables.json
2021-10,2021-10-18,2021,1y_tc,LR1 1y TC,Oct-21,14000,0,xclusiv_2021_xclusiv_weekly_2021_10_18.tables.json
2021-10,2023-06-26,2023,1y_tc,LR1 1y TC,Oct-21,17000,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2021-11,2022-07-01,2022,1y_tc,LR1 1y TC,Nov-21,14400,0,xclusiv_2022_xclusiv_weekly_2022_07_01.tables.json
2021-11,2023-06-26,2023,1y_tc,LR1 1y TC,Nov-21,14500,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2021-12,2023-06-26,2023,1y_tc,LR1 1y TC,Dec-21,14500,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2022-01,2022-07-01,2022,1y_tc,LR1 1y TC,Jan-22,15400,0,xclusiv_2022_xclusiv_weekly_2022_07_01.tables.json
2022-01,2023-06-26,2023,1y_tc,LR1 1y TC,Jan-22,15000,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2022-02,2023-06-26,2023,1y_tc,LR1 1y TC,Feb-22,15500,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2022-03,2022-07-01,2022,1y_tc,LR1 1y TC,Mar-22,17500,0,xclusiv_2022_xclusiv_weekly_2022_07_01.tables.json
2022-03,2023-06-26,2023,1y_tc,LR1 1y TC,Mar-22,15500,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2022-04,2023-06-26,2023,1y_tc,LR1 1y TC,Apr-22,17500,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2022-05,2022-07-01,2022,1y_tc,LR1 1y TC,May-22,20200,0,xclusiv_2022_xclusiv_weekly_2022_07_01.tables.json
2022-05,2023-06-26,2023,1y_tc,LR1 1y TC,May-22,18000,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2022-06,2023-06-26,2023,1y_tc,LR1 1y TC,Jun-22,20500,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2022-07,2022-07-01,2022,1y_tc,LR1 1y TC,Jul-22,27100,0,xclusiv_2022_xclusiv_weekly_2022_07_01.tables.json
2022-07,2023-06-26,2023,1y_tc,LR1 1y TC,Jul-22,27500,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2022-08,2023-06-26,2023,1y_tc,LR1 1y TC,Aug-22,27500,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2022-09,2023-06-26,2023,1y_tc,LR1 1y TC,Sep-22,29000,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2022-10,2023-06-26,2023,1y_tc,LR1 1y TC,Oct-22,36000,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2022-11,2023-06-26,2023,1y_tc,LR1 1y TC,Nov-22,42500,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2022-12,2023-06-26,2023,1y_tc,LR1 1y TC,Dec-22,42500,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2023-01,2023-06-26,2023,1y_tc,LR1 1y TC,Jan-23,46500,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2023-02,2023-06-26,2023,1y_tc,LR1 1y TC,Feb-23,41000,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2023-03,2023-06-26,2023,1y_tc,LR1 1y TC,Mar-23,41000,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2023-04,2023-06-26,2023,1y_tc,LR1 1y TC,Apr-23,41000,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2023-05,2023-06-26,2023,1y_tc,LR1 1y TC,May-23,39000,0,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2023-05,2024-07-01,2024,1y_tc,LR1 1y TC,May-23,40000,1,xclusiv_2024_xclusiv-2024_07_01.tables.json
2023-06,2023-06-26,2023,1y_tc,LR1 1y TC,Jun-23,36500,0,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2023-06,2024-07-01,2024,1y_tc,LR1 1y TC,Jun-23,39000,1,xclusiv_2024_xclusiv-2024_07_01.tables.json
2023-07,2024-07-01,2024,1y_tc,LR1 1y TC,Jul-23,37000,1,xclusiv_2024_xclusiv-2024_07_01.tables.json
2023-08,2024-07-01,2024,1y_tc,LR1 1y TC,Aug-23,35000,1,xclusiv_2024_xclusiv-2024_07_01.tables.json
2023-09,2024-07-01,2024,1y_tc,LR1 1y TC,Sep-23,33000,1,xclusiv_2024_xclusiv-2024_07_01.tables.json
2023-10,2024-07-01,2024,1y_tc,LR1 1y TC,Oct-23,33000,1,xclusiv_2024_xclusiv-2024_07_01.tables.json
2023-11,2024-07-01,2024,1y_tc,LR1 1y TC,Nov-23,35000,1,xclusiv_2024_xclusiv-2024_07_01.tables.json
2023-12,2024-07-01,2024,1y_tc,LR1 1y TC,Dec-23,35000,1,xclusiv_2024_xclusiv-2024_07_01.tables.json
2024-01,2024-07-01,2024,1y_tc,LR1 1y TC,Jan-24,36000,1,xclusiv_2024_xclusiv-2024_07_01.tables.json
2024-02,2024-07-01,2024,1y_tc,LR1 1y TC,Feb-24,46000,1,xclusiv_2024_xclusiv-2024_07_01.tables.json
2024-03,2024-07-01,2024,1y_tc,LR1 1y TC,Mar-24,39000,1,xclusiv_2024_xclusiv-2024_07_01.tables.json
2024-04,2024-07-01,2024,1y_tc,LR1 1y TC,Apr-24,43000,1,xclusiv_2024_xclusiv-2024_07_01.tables.json
2024-05,2024-07-01,2024,1y_tc,LR1 1y TC,May-24,43000,1,xclusiv_2024_xclusiv-2024_07_01.tables.json
2024-06,2024-07-01,2024,1y_tc,LR1 1y TC,Jun-24,42000,0,xclusiv_2024_xclusiv-2024_07_01.tables.json
2024-06,2025-06-23,2025,1y_tc,LR1 1y TC,Jun-24,42500,1,xclusiv_2025_xclusiv-2025_06_23.tables.json
2024-07,2025-06-23,2025,1y_tc,LR1 1y TC,Jul-24,41500,1,xclusiv_2025_xclusiv-2025_06_23.tables.json
2024-08,2025-06-23,2025,1y_tc,LR1 1y TC,Aug-24,40000,1,xclusiv_2025_xclusiv-2025_06_23.tables.json
2024-09,2025-06-23,2025,1y_tc,LR1 1y TC,Sep-24,38000,1,xclusiv_2025_xclusiv-2025_06_23.tables.json
2024-10,2025-06-23,2025,1y_tc,LR1 1y TC,Oct-24,31500,1,xclusiv_2025_xclusiv-2025_06_23.tables.json
2024-11,2025-06-23,2025,1y_tc,LR1 1y TC,Nov-24,24000,1,xclusiv_2025_xclusiv-2025_06_23.tables.json
2024-12,2025-06-23,2025,1y_tc,LR1 1y TC,Dec-24,22000,1,xclusiv_2025_xclusiv-2025_06_23.tables.json
2025-01,2025-06-23,2025,1y_tc,LR1 1y TC,Jan-25,26500,1,xclusiv_2025_xclusiv-2025_06_23.tables.json
2025-02,2025-06-23,2025,1y_tc,LR1 1y TC,Feb-25,24500,1,xclusiv_2025_xclusiv-2025_06_23.tables.json
2025-03,2025-06-23,2025,1y_tc,LR1 1y TC,Mar-25,24500,1,xclusiv_2025_xclusiv-2025_06_23.tables.json
2025-04,2025-06-23,2025,1y_tc,LR1 1y TC,Apr-25,24500,1,xclusiv_2025_xclusiv-2025_06_23.tables.json
2025-05,2025-06-23,2025,1y_tc,LR1 1y TC,May-25,26000,1,xclusiv_2025_xclusiv-2025_06_23.tables.json
2019-10,2021-10-18,2021,1y_tc,LR2 1y TC,Oct-19,23000,1,xclusiv_2021_xclusiv_weekly_2021_10_18.tables.json
2020-01,2021-10-18,2021,1y_tc,LR2 1y TC,Jan-20,29000,1,xclusiv_2021_xclusiv_weekly_2021_10_18.tables.json
2020-04,2021-10-18,2021,1y_tc,LR2 1y TC,Apr-20,30000,1,xclusiv_2021_xclusiv_weekly_2021_10_18.tables.json
2020-07,2021-10-18,2021,1y_tc,LR2 1y TC,Jul-20,26000,1,xclusiv_2021_xclusiv_weekly_2021_10_18.tables.json
2020-10,2021-10-18,2021,1y_tc,LR2 1y TC,Oct-20,23000,1,xclusiv_2021_xclusiv_weekly_2021_10_18.tables.json
2020-11,2022-07-01,2022,1y_tc,LR2 1y TC,Nov-20,19700,1,xclusiv_2022_xclusiv_weekly_2022_07_01.tables.json
2021-01,2021-10-18,2021,1y_tc,LR2 1y TC,Jan-21,19000,0,xclusiv_2021_xclusiv_weekly_2021_10_18.tables.json
2021-01,2022-07-01,2022,1y_tc,LR2 1y TC,Jan-21,18200,1,xclusiv_2022_xclusiv_weekly_2022_07_01.tables.json
2021-03,2022-07-01,2022,1y_tc,LR2 1y TC,Mar-21,18000,1,xclusiv_2022_xclusiv_weekly_2022_07_01.tables.json
2021-04,2021-10-18,2021,1y_tc,LR2 1y TC,Apr-21,21000,1,xclusiv_2021_xclusiv_weekly_2021_10_18.tables.json
2021-05,2022-07-01,2022,1y_tc,LR2 1y TC,May-21,20500,1,xclusiv_2022_xclusiv_weekly_2022_07_01.tables.json
2021-07,2021-10-18,2021,1y_tc,LR2 1y TC,Jul-21,21000,0,xclusiv_2021_xclusiv_weekly_2021_10_18.tables.json
2021-07,2022-07-01,2022,1y_tc,LR2 1y TC,Jul-21,20400,1,xclusiv_2022_xclusiv_weekly_2022_07_01.tables.json
2021-09,2022-07-01,2022,1y_tc,LR2 1y TC,Sep-21,20400,1,xclusiv_2022_xclusiv_weekly_2022_07_01.tables.json
2021-10,2021-10-18,2021,1y_tc,LR2 1y TC,Oct-21,21000,0,xclusiv_2021_xclusiv_weekly_2021_10_18.tables.json
2021-10,2023-06-26,2023,1y_tc,LR2 1y TC,Oct-21,18500,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2021-11,2022-07-01,2022,1y_tc,LR2 1y TC,Nov-21,19700,0,xclusiv_2022_xclusiv_weekly_2022_07_01.tables.json
2021-11,2023-06-26,2023,1y_tc,LR2 1y TC,Nov-21,20000,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2021-12,2023-06-26,2023,1y_tc,LR2 1y TC,Dec-21,20000,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2022-01,2022-07-01,2022,1y_tc,LR2 1y TC,Jan-22,19700,0,xclusiv_2022_xclusiv_weekly_2022_07_01.tables.json
2022-01,2023-06-26,2023,1y_tc,LR2 1y TC,Jan-22,20000,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2022-02,2023-06-26,2023,1y_tc,LR2 1y TC,Feb-22,20000,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2022-03,2022-07-01,2022,1y_tc,LR2 1y TC,Mar-22,20300,0,xclusiv_2022_xclusiv_weekly_2022_07_01.tables.json
2022-03,2023-06-26,2023,1y_tc,LR2 1y TC,Mar-22,19000,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2022-04,2023-06-26,2023,1y_tc,LR2 1y TC,Apr-22,23500,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2022-05,2022-07-01,2022,1y_tc,LR2 1y TC,May-22,24000,0,xclusiv_2022_xclusiv_weekly_2022_07_01.tables.json
2022-05,2023-06-26,2023,1y_tc,LR2 1y TC,May-22,23500,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2022-06,2023-06-26,2023,1y_tc,LR2 1y TC,Jun-22,29000,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2022-07,2022-07-01,2022,1y_tc,LR2 1y TC,Jul-22,30000,0,xclusiv_2022_xclusiv_weekly_2022_07_01.tables.json
2022-07,2023-06-26,2023,1y_tc,LR2 1y TC,Jul-22,31500,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2022-08,2023-06-26,2023,1y_tc,LR2 1y TC,Aug-22,31500,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2022-09,2023-06-26,2023,1y_tc,LR2 1y TC,Sep-22,32000,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2022-10,2023-06-26,2023,1y_tc,LR2 1y TC,Oct-22,39500,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2022-11,2023-06-26,2023,1y_tc,LR2 1y TC,Nov-22,44500,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2022-12,2023-06-26,2023,1y_tc,LR2 1y TC,Dec-22,44500,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2023-01,2023-06-26,2023,1y_tc,LR2 1y TC,Jan-23,56000,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2023-02,2023-06-26,2023,1y_tc,LR2 1y TC,Feb-23,52500,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2023-03,2023-06-26,2023,1y_tc,LR2 1y TC,Mar-23,52500,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2023-04,2023-06-26,2023,1y_tc,LR2 1y TC,Apr-23,51000,1,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2023-05,2023-06-26,2023,1y_tc,LR2 1y TC,May-23,52000,0,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2023-05,2024-07-01,2024,1y_tc,LR2 1y TC,May-23,52000,1,xclusiv_2024_xclusiv-2024_07_01.tables.json
2023-06,2023-06-26,2023,1y_tc,LR2 1y TC,Jun-23,48000,0,xclusiv_2023_xclusiv_weekly_2023_06_26.tables.json
2023-06,2024-07-01,2024,1y_tc,LR2 1y TC,Jun-23,51000,1,xclusiv_2024_xclusiv-2024_07_01.tables.json
2023-07,2024-07-01,2024,1y_tc,LR2 1y TC,Jul-23,48000,1,xclusiv_2024_xclusiv-2024_07_01.tables.json
2023-08,2024-07-01,2024,1y_tc,LR2 1y TC,Aug-23,43000,1,xclusiv_2024_xclusiv-2024_07_01.tables.json
2023-09,2024-07-01,2024,1y_tc,LR2 1y TC,Sep-23,43000,1,xclusiv_2024_xclusiv-2024_07_01.tables.json
2023-10,2024-07-01,2024,1y_tc,LR2 1y TC,Oct-23,43000,1,xclusiv_2024_xclusiv-2024_07_01.tables.json
2023-11,2024-07-01,2024,1y_tc,LR2 1y TC,Nov-23,43000,1,xclusiv_2024_xclusiv-2024_07_01.tables.json
2023-12,2024-07-01,2024,1y_tc,LR2 1y TC,Dec-23,46000,1,xclusiv_2024_xclusiv-2024_07_01.tables.json
2024-01,2024-07-01,2024,1y_tc,LR2 1y TC,Jan-24,46000,1,xclusiv_2024_xclusiv-2024_07_01.tables.json
2024-02,2024-07-01,2024,1y_tc,LR2 1y TC,Feb-24,51000,1,xclusiv_2024_xclusiv-2024_07_01.tables.json
2024-03,2024-07-01,2024,1y_tc,LR2 1y TC,Mar-24,49000,1,xclusiv_2024_xclusiv-2024_07_01.tables.json
2024-04,2024-07-01,2024,1y_tc,LR2 1y TC,Apr-24,52000,1,xclusiv_2024_xclusiv-2024_07_01.tables.json
2024-05,2024-07-01,2024,1y_tc,LR2 1y TC,May-24,52000,1,xclusiv_2024_xclusiv-2024_07_01.tables.json
2024-06,2024-07-01,2024,1y_tc,LR2 1y TC,Jun-24,52000,0,xclusiv_2024_xclusiv-2024_07_01.tables.json
2024-06,2025-06-23,2025,1y_tc,LR2 1y TC,Jun-24,53000,1,xclusiv_2025_xclusiv-2025_06_23.tables.json
2024-07,2025-06-23,2025,1y_tc,LR2 1y TC,Jul-24,51000,1,xclusiv_2025_xclusiv-2025_06_23.tables.json
2024-08,2025-06-23,2025,1y_tc,LR2 1y TC,Aug-24,48500,1,xclusiv_2025_xclusiv-2025_06_23.tables.json
2024-09,2025-06-23,2025,1y_tc,LR2 1y TC,Sep-24,44000,1,xclusiv_2025_xclusiv-2025_06_23.tables.json
2024-10,2025-06-23,2025,1y_tc,LR2 1y TC,Oct-24,43000,1,xclusiv_2025_xclusiv-2025_06_23.tables.json
2024-11,2025-06-23,2025,1y_tc,LR2 1y TC,Nov-24,38000,1,xclusiv_2025_xclusiv-2025_06_23.tables.json
2024-12,2025-06-23,2025,1y_tc,LR2 1y TC,Dec-24,32500,1,xclusiv_2025_xclusiv-2025_06_23.tables.json
2025-01,2025-06-23,2025,1y_tc,LR2 1y TC,Jan-25,31500,1,xclusiv_2025_xclusiv-2025_06_23.tables.json
