Date,Month,Year,Gulf_To_Japan,PNW_To_Japan,Gulf_PNW_Spread
January 2003,1,2003,26.79,19.78,7.01
February 2003,2,2003,27.37,19.16,8.21
March 2003,3,2003,29.59,19.33,10.26
April 2003,4,2003,32.03,21.32,10.71
May 2003,5,2003,33.93,22.49,11.44
June 2003,6,2003,30.55,22.45,8.1
July 2003,7,2003,32.16,23.19,8.97
August 2003,8,2003,33.27,21.06,12.21
September 2003,9,2003,34.63,21.4,13.23
October 2003,10,2003,44.64,37.07,7.57
November 2003,11,2003,46.06,40.17,5.89
December 2003,12,2003,50.75,41.7,9.05
January 2004,1,2004,58.56,43.58,14.97
February 2004,2,2004,70.56,44.31,26.25
March 2004,3,2004,72.75,44.05,28.69
April 2004,4,2004,69.83,39.88,29.96
May 2004,5,2004,56.88,32.94,23.94
June 2004,6,2004,43.05,26.25,16.8
July 2004,7,2004,47.05,32.66,14.39
August 2004,8,2004,51.52,32.07,19.45
September 2004,9,2004,52.91,33.85,19.06
October 2004,10,2004,56.78,37.72,19.06
November 2004,11,2004,63.06,42.44,20.62
December 2004,12,2004,64.82,44.17,20.65
January 2005,1,2005,60.01,36.44,23.57
February 2005,2,2005,59.9,36.99,22.91
March 2005,3,2005,63.04,39.18,23.86
April 2005,4,2005,60.55,33.12,27.43
May 2005,5,2005,54.9,27.53,27.37
June 2005,6,2005,49.4,25.08,24.32
July 2005,7,2005,38.25,20.79,17.46
August 2005,8,2005,36.26,21.84,14.42
September 2005,9,2005,40.62,24.53,16.09
October 2005,10,2005,46.36,25.22,21.14
November 2005,11,2005,44.44,23.6,20.84
December 2005,12,2005,40.27,25.66,14.61
January 2006,1,2006,36.41,24.64,11.77
February 2006,2,2006,34.91,25.69,9.22
March 2006,3,2006,35.82,27.71,8.11
April 2006,4,2006,34.7,25.31,9.39
May 2006,5,2006,34.7,25.38,9.32
June 2006,6,2006,37.16,28.85,8.31
July 2006,7,2006,39.67,30.42,9.25
August 2006,8,2006,44.82,32.72,12.1
September 2006,9,2006,50.15,37.16,12.99
October 2006,10,2006,48.74,38.23,10.51
November 2006,11,2006,49.44,40.87,8.57
December 2006,12,2006,52.54,40.07,12.47
January 2007,1,2007,53.7,38.4,15.3
February 2007,2,2007,54.4,38.0,16.4
March 2007,3,2007,57.0,40.15,16.85
April 2007,4,2007,59.15,42.05,17.1
May 2007,5,2007,63.6,43.8,19.8
June 2007,6,2007,63.9,42.75,21.15
July 2007,7,2007,82.0,58.25,23.75
August 2007,8,2007,90.75,64.6,26.15
September 2007,9,2007,97.0,66.65,30.35
October 2007,10,2007,11.26,86.7,25.9
November 2007,11,2007,11.8,86.5,31.5
December 2007,12,2007,12.42,79.35,44.85
January 2008,1,2008,99.0,58.0,41.0
February 2008,2,2008,10.24,59.4,43.0
March 2008,3,2008,11.12,66.5,44.75
April 2008,4,2008,11.32,64.75,48.5
May 2008,5,2008,13.31,72.2,60.9
June 2008,6,2008,12.72,80.25,47.0
July 2008,7,2008,12.75,72.5,55.0
August 2008,8,2008,11.58,60.0,55.8
September 2008,9,2008,88.0,51.5,36.5
October 2008,10,2008,40.4,23.6,16.8
November 2008,11,2008,27.63,17.38,10.25
December 2008,12,2008,23.33,13.33,10.0
January 2009,1,2009,26.3,14.6,11.7
February 2009,2,2009,39.25,19.75,19.5
March 2009,3,2009,42.25,22.0,20.25
April 2009,4,2009,40.38,20.63,19.75
May 2009,5,2009,47.0,25.7,21.3
June 2009,6,2009,48.63,26.69,21.94
July 2009,7,2009,60.2,32.2,28.0
August 2009,8,2009,54.5,28.0,26.5
September 2009,9,2009,57.13,29.88,27.25
October 2009,10,2009,60.85,33.8,27.05
November 2009,11,2009,71.38,43.13,28.25
December 2009,12,2009,68.63,38.88,29.75
January 2010,1,2010,69.38,39.75,29.63
February 2010,2,2010,63.0,36.75,26.25
March 2010,3,2010,69.5,42.5,27.0
April 2010,4,2010,69.2,40.4,28.8
May 2010,5,2010,72.13,42.25,29.88
June 2010,6,2010,66.75,33.5,33.25
July 2010,7,2010,56.1,30.8,25.3
August 2010,8,2010,62.75,34.5,28.25
September 2010,9,2010,65.5,36.0,29.5
October 2010,10,2010,60.0,32.9,27.1
November 2010,11,2010,55.88,32.13,23.75
December 2010,12,2010,52.88,29.0,23.88
January 2011,1,2011,51.5,29.0,22.5
February 2011,2,2011,53.63,31.75,21.88
March 2011,3,2011,59.25,35.0,24.25
April 2011,4,2011,52.9,22.3,30.6
May 2011,5,2011,52.75,30.0,22.75
June 2011,6,2011,53.25,30.13,23.12
July 2011,7,2011,51.9,27.8,24.1
August 2011,8,2011,52.25,30.25,22.0
September 2011,9,2011,52.92,30.55,22.37
October 2011,10,2011,58.0,34.75,23.25
November 2011,11,2011,57.0,31.5,25.5
December 2011,12,2011,56.38,29.63,26.75
January 2012,1,2012,51.75,27.25,24.5
February 2012,2,2012,49.0,28.0,21.0
March 2012,3,2012,49.8,29.6,20.2
April 2012,4,2012,52.75,29.75,23.0
May 2012,5,2012,50.75,26.88,23.87
June 2012,6,2012,52.32,29.73,22.59
July 2012,7,2012,50.25,28.13,22.12
August 2012,8,2012,49.8,26.8,23.0
September 2012,9,2012,47.5,24.0,23.5
October 2012,10,2012,48.63,27.25,21.38
November 2012,11,2012,46.5,26.2,20.3
December 2012,12,2012,45.38,24.25,21.13
January 2013,1,2013,45.75,24.75,21.0
February 2013,2,2013,46.25,24.38,21.87
March 2013,3,2013,48.2,25.4,22.8
April 2013,4,2013,47.25,24.88,22.37
May 2013,5,2013,44.7,23.5,21.2
June 2013,6,2013,45.38,23.63,21.75
July 2013,7,2013,45.88,24.19,21.69
August 2013,8,2013,45.5,24.45,21.05
September 2013,9,2013,52.0,31.25,20.75
October 2013,10,2013,56.13,32.5,23.63
November 2013,11,2013,53.9,29.1,24.8
December 2013,12,2013,57.25,30.13,27.12
January 2014,1,2014,56.9,28.4,28.5
February 2014,2,2014,53.38,27.75,25.63
March 2014,3,2014,52.38,28.75,23.63
April 2014,4,2014,48.75,26.75,22.0
May 2014,5,2014,46.8,26.0,20.8
June 2014,6,2014,43.63,23.0,20.63
July 2014,7,2014,42.63,23.56,19.07
August 2014,8,2014,43.2,24.05,19.15
September 2014,9,2014,46.13,25.75,20.38
October 2014,10,2014,46.1,24.8,21.3
November 2014,11,2014,44.58,24.5,20.08
December 2014,12,2014,41.33,22.33,19.0
January 2015,1,2015,34.5,19.0,15.5
February 2015,2,2015,28.63,16.5,12.13
March 2015,3,2015,32.0,18.0,14.0
April 2015,4,2015,31.0,17.0,14.0
May 2015,5,2015,30.2,16.5,13.7
June 2015,6,2015,31.38,17.63,13.75
July 2015,7,2015,34.2,18.7,15.5
August 2015,8,2015,35.5,18.81,16.69
September 2015,9,2015,34.44,18.19,16.25
October 2015,10,2015,32.05,17.45,14.6
November 2015,11,2015,30.25,16.33,13.92
December 2015,12,2015,25.63,14.13,11.5
January 2016,1,2016,23.94,13.25,10.69
February 2016,2,2016,22.56,12.81,9.75
March 2016,3,2016,23.15,13.85,9.3
April 2016,4,2016,24.63,14.81,9.82
May 2016,5,2016,26.06,15.75,10.31
June 2016,6,2016,28.5,15.95,12.55
July 2016,7,2016,30.81,17.13,13.68
August 2016,8,2016,28.81,16.25,12.56
September 2016,9,2016,29.93,16.61,13.32
October 2016,10,2016,30.88,17.44,13.44
November 2016,11,2016,33.69,18.69,15.0
December 2016,12,2016,36.45,19.15,17.3
January 2017,1,2017,35.19,17.94,17.25
February 2017,2,2017,35.81,18.38,17.43
March 2017,3,2017,38.35,20.75,17.6
April 2017,4,2017,39.88,21.56,18.32
May 2017,5,2017,37.81,19.63,18.18
June 2017,6,2017,36.55,18.6,17.95
July 2017,7,2017,37.56,19.31,18.25
August 2017,8,2017,38.25,19.7,18.55
September 2017,9,2017,41.88,23.13,18.75
October 2017,10,2017,42.88,24.31,18.57
November 2017,11,2017,43.13,24.44,18.69
December 2017,12,2017,44.67,24.92,19.75
January 2018,1,2018,44.25,24.5,19.75
February 2018,2,2018,43.56,23.94,19.62
March 2018,3,2018,45.0,24.3,20.7
April 2018,4,2018,44.06,24.13,19.93
May 2018,5,2018,43.55,24.3,19.25
June 2018,6,2018,43.44,24.69,18.75
July 2018,7,2018,43.88,24.75,19.13
August 2018,8,2018,44.95,24.65,20.3
September 2018,9,2018,46.56,25.5,21.06
October 2018,10,2018,49.0,27.44,21.56
November 2018,11,2018,48.38,26.81,21.57
December 2018,12,2018,48.0,25.83,22.17
January 2019,1,2019,43.0,23.5,19.5
February 2019,2,2019,38.94,22.13,16.81
March 2019,3,2019,40.63,23.31,17.32
April 2019,4,2019,42.06,23.31,18.75
May 2019,5,2019,43.1,23.55,19.55
June 2019,6,2019,43.19,23.81,19.38
July 2019,7,2019,47.75,26.19,21.56
August 2019,8,2019,50.35,28.0,22.35
September 2019,9,2019,52.06,29.5,22.56
October 2019,10,2019,50.85,28.1,22.75
November 2019,11,2019,47.08,25.25,21.83
December 2019,12,2019,46.83,25.5,21.33
January 2020,1,2020,45.45,24.6,20.85
February 2020,2,2020,42.88,22.63,20.25
March 2020,3,2020,41.81,22.06,19.75
April 2020,4,2020,37.8,19.45,18.35
May 2020,5,2020,34.31,17.94,16.37
June 2020,6,2020,36.88,19.44,17.44
July 2020,7,2020,40.9,21.1,19.8
August 2020,8,2020,44.13,24.0,20.13
September 2020,9,2020,43.94,24.06,19.88
October 2020,10,2020,42.9,23.7,19.2
November 2020,11,2020,41.67,23.0,18.67
December 2020,12,2020,41.75,23.5,18.25
January 2021,1,2021,45.5,26.06,19.44
February 2021,2,2021,51.8,29.56,22.24
March 2021,3,2021,59.25,33.94,25.31
April 2021,4,2021,61.2,35.7,25.5
May 2021,5,2021,66.0,38.63,27.37
June 2021,6,2021,70.63,40.69,29.94
July 2021,7,2021,82.6,44.85,37.75
August 2021,8,2021,80.38,43.63,36.75
September 2021,9,2021,82.15,45.2,36.95
October 2021,10,2021,87.38,48.13,39.25
November 2021,11,2021,77.5,41.58,35.92
December 2021,12,2021,70.63,37.75,32.88
January 2022,1,2022,66.5,36.44,30.06
February 2022,2,2022,65.13,36.13,29.0
March 2022,3,2022,76.3,42.85,33.45
April 2022,4,2022,78.5,44.25,34.25
May 2022,5,2022,81.38,46.25,35.13
June 2022,6,2022,78.95,45.1,33.85
July 2022,7,2022,70.88,41.31,29.57
August 2022,8,2022,64.13,37.38,26.75
September 2022,9,2022,59.7,35.1,24.6
October 2022,10,2022,62.56,36.38,26.18
November 2022,11,2022,57.83,33.75,24.08
December 2022,12,2022,56.81,31.94,24.87
January 2023,1,2023,52.31,28.81,23.5
February 2023,2,2023,48.56,27.06,21.5
March 2023,3,2023,52.5,29.3,23.2
April 2023,4,2023,55.19,30.0,25.19
May 2023,5,2023,51.38,28.56,22.82
June 2023,6,2023,48.1,26.5,21.6
July 2023,7,2023,46.13,25.44,20.69
August 2023,8,2023,50.4,27.1,23.3
September 2023,9,2023,55.75,29.75,26.0
October 2023,10,2023,57.13,29.94,27.19
November 2023,11,2023,57.94,29.94,28.0
December 2023,12,2023,61.75,32.17,29.58
January 2024,1,2024,58.81,31.06,27.75
February 2024,2,2024,58.95,31.5,27.45
March 2024,3,2024,61.69,33.31,28.38
April 2024,4,2024,61.19,32.63,28.56
May 2024,5,2024,61.8,33.1,28.7
June 2024,6,2024,60.0,32.25,27.75
July 2024,7,2024,59.75,31.69,28.06
August 2024,8,2024,58.65,30.9,27.75
September 2024,9,2024,55.56,30.13,25.43
October 2024,10,2024,53.65,30.05,23.6
November 2024,11,2024,49.5,29.25,20.25
December 2024,12,2024,46.08,27.58,18.5
January 2025,1,2025,45.55,26.15,19.4
February 2025,2,2025,46.13,27.13,19.0
March 2025,3,2025,46.94,27.38,19.56
April 2025,4,2025,46.19,27.31,18.88
May 2025,5,2025,46.2,27.05,19.15
June 2025,6,2025,46.88,27.0,19.88
July 2025,7,2025,51.75,28.8,22.95
August 2025,8,2025,54.19,28.81,25.38
September 2025,9,2025,57.13,29.63,27.5
October 2025,10,2025,56.8,29.65,27.15
November 2025,11,2025,56.5,29.15,27.35
December 2025,12,2025,55.75,29.08,26.67
January 2026,1,2026,50.15,27.8,22.35
February 2026,2,2026,54.19,30.5,23.69
March 2026,3,2026,60.44,33.75,26.69
April 2026,4,2026,65.8,35.0,30.8
May 2026,5,2026,70.81,37.0,33.81
June 2026,6,2026,71.19,36.75,34.44
July 2026,7,2026,68.95,35.95,33.0
August 2026,8,2026,72.94,36.75,36.19
