date,volume_mt,bituminous_mt,other_coal_mt,lignite_mt,headline_coal_mt,total_coal_and_lignite_mt,value_usd,seaborne_mt,top_destination_1,top_destination_2,top_destination_3,source_url,publisher,source_quote,method
2019-11-01,38.68,7.02,25.28,6.38,32.3,38.68,1717126265.07,38.68,China 11.73 Mt (30.3%),India 10.94 Mt (28.3%),South Korea 2.63 Mt (6.8%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2019-12-01,37.21,6.94,24.39,5.87,31.33,37.21,1697507799.72,37.21,India 10.52 Mt (28.3%),China 10.29 Mt (27.7%),Japan 3.18 Mt (8.5%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2020-01-01,38.23,6.4,25.16,6.67,31.56,38.23,1709376037.7,38.23,China 13.05 Mt (34.1%),India 9.8 Mt (25.6%),Japan 2.89 Mt (7.6%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2020-02-01,36.99,6.21,23.53,7.26,29.73,36.99,1689265725.2,36.99,China 13.01 Mt (35.2%),India 9.5 Mt (25.7%),Japan 3.02 Mt (8.2%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2020-03-01,40.02,6.83,26.38,6.82,33.2,40.02,1816072842.95,40.02,China 12.39 Mt (31.0%),India 9.63 Mt (24.1%),Japan 2.73 Mt (6.8%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2020-04-01,31.61,5.5,20.07,6.04,25.57,31.61,1405459373.12,31.61,China 11.81 Mt (37.4%),India 4.36 Mt (13.8%),Malaysia 2.62 Mt (8.3%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2020-05-01,29.37,5.0,18.49,5.89,23.49,29.37,1168492297.8,29.37,China 11.43 Mt (38.9%),India 3.53 Mt (12.0%),South Korea 2.48 Mt (8.5%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2020-06-01,32.09,5.41,20.58,6.1,25.99,32.09,1205818573.41,32.09,China 12.46 Mt (38.8%),India 5.67 Mt (17.7%),Philippines 2.59 Mt (8.1%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2020-07-01,31.38,5.57,21.88,3.93,27.45,31.38,1187634624.79,31.38,China 9.03 Mt (28.8%),India 7.87 Mt (25.1%),Malaysia 2.58 Mt (8.2%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2020-08-01,29.28,4.66,21.73,2.9,26.39,29.28,1077169612.24,29.28,India 8.76 Mt (29.9%),China 5.76 Mt (19.7%),Philippines 2.62 Mt (9.0%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2020-09-01,28.23,5.14,21.33,1.76,26.48,28.23,1027109966.04,28.23,India 10.14 Mt (35.9%),China 3.75 Mt (13.3%),Philippines 2.57 Mt (9.1%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2020-10-01,32.11,4.91,23.68,3.52,28.58,32.11,1161769701.07,32.11,India 10.4 Mt (32.4%),China 6.17 Mt (19.2%),Philippines 2.57 Mt (8.0%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2020-11-01,36.98,6.01,25.21,5.76,31.22,36.98,1424355640.52,36.98,China 11.0 Mt (29.8%),India 9.45 Mt (25.5%),Philippines 2.5 Mt (6.8%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2020-12-01,40.59,6.52,25.37,8.7,31.89,40.59,1585174050.24,40.59,China 17.55 Mt (43.2%),India 9.13 Mt (22.5%),Malaysia 2.17 Mt (5.3%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2021-01-01,38.25,6.34,21.88,10.03,28.22,38.25,1759985150.07,38.25,China 19.97 Mt (52.2%),India 6.71 Mt (17.5%),Japan 2.37 Mt (6.2%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2021-02-01,33.8,6.72,19.79,7.29,26.51,33.8,1760011050.94,33.8,China 15.2 Mt (45.0%),India 5.43 Mt (16.1%),Philippines 2.35 Mt (6.9%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2021-03-01,34.36,5.94,23.07,5.34,29.02,34.36,1801946061.39,34.36,China 9.94 Mt (28.9%),India 8.97 Mt (26.1%),Philippines 2.41 Mt (7.0%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2021-04-01,33.15,5.32,22.98,4.84,28.3,33.15,1751050042.67,33.15,China 10.01 Mt (30.2%),India 9.82 Mt (29.6%),Philippines 2.56 Mt (7.7%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2021-05-01,37.02,6.37,22.96,7.69,29.33,37.02,2175710107.04,37.02,China 16.76 Mt (45.3%),India 6.27 Mt (16.9%),Philippines 2.8 Mt (7.6%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2021-06-01,36.73,5.61,23.13,7.99,28.74,36.73,2331931445.78,36.73,China 18.78 Mt (51.1%),India 4.33 Mt (11.8%),Philippines 2.59 Mt (7.0%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2021-07-01,39.77,6.55,25.32,7.9,31.87,39.77,2791549134.55,39.77,China 17.4 Mt (43.7%),India 5.29 Mt (13.3%),Philippines 2.74 Mt (6.9%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2021-08-01,37.72,6.2,23.46,8.05,29.66,37.72,2913128525.14,37.72,China 19.52 Mt (51.8%),India 4.55 Mt (12.1%),Philippines 2.37 Mt (6.3%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2021-09-01,36.26,5.53,24.14,6.59,29.67,36.26,3065250772.55,36.26,China 15.75 Mt (43.4%),India 5.59 Mt (15.4%),Philippines 2.86 Mt (7.9%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2021-10-01,39.32,5.94,24.99,8.39,30.93,39.32,3876764564.98,39.32,China 20.5 Mt (52.1%),India 5.36 Mt (13.6%),Philippines 2.96 Mt (7.5%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2021-11-01,33.74,5.01,21.48,7.25,26.49,33.74,4057860952.75,33.74,China 15.94 Mt (47.3%),India 4.51 Mt (13.4%),Philippines 2.62 Mt (7.8%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2021-12-01,33.56,5.85,20.87,6.83,26.72,33.56,3223064183.47,33.56,China 15.99 Mt (47.7%),India 4.1 Mt (12.2%),Philippines 2.28 Mt (6.8%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2022-01-01,13.28,2.07,8.85,2.35,10.92,13.28,1211254486.85,13.28,China 5.07 Mt (38.2%),India 1.98 Mt (14.9%),South Korea 1.23 Mt (9.2%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2022-02-01,30.87,3.93,21.05,5.9,24.98,30.87,2941993499.0,30.87,China 9.27 Mt (30.0%),India 8.46 Mt (27.4%),Japan 2.66 Mt (8.6%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2022-03-01,44.33,5.72,29.59,9.01,35.32,44.33,4587249778.05,44.33,China 15.27 Mt (34.5%),India 11.62 Mt (26.2%),Philippines 3.06 Mt (6.9%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2022-04-01,39.81,4.7,27.28,7.83,31.98,39.81,5237037371.59,39.81,China 13.41 Mt (33.7%),India 9.4 Mt (23.6%),Philippines 2.98 Mt (7.5%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2022-05-01,38.87,3.37,29.9,5.59,33.27,38.87,4839032472.43,38.87,India 16.11 Mt (41.5%),China 8.11 Mt (20.9%),Philippines 2.74 Mt (7.0%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2022-06-01,41.38,4.14,29.98,7.27,34.11,41.38,5150987269.1,41.38,India 14.21 Mt (34.3%),China 10.95 Mt (26.5%),Philippines 3.0 Mt (7.3%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2022-07-01,43.79,5.17,28.28,10.34,33.45,43.79,5499573982.01,43.79,China 14.81 Mt (33.8%),India 11.36 Mt (25.9%),Philippines 2.79 Mt (6.4%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2022-08-01,42.95,5.01,27.77,10.17,32.78,42.95,5122942591.39,42.95,China 15.99 Mt (37.2%),India 9.79 Mt (22.8%),Philippines 2.7 Mt (6.3%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2022-09-01,45.48,4.36,28.79,12.33,33.15,45.48,5034129017.42,45.48,China 21.66 Mt (47.6%),India 7.36 Mt (16.2%),Philippines 2.62 Mt (5.8%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2022-10-01,44.46,4.66,28.08,11.73,32.73,44.46,5315301317.14,44.46,China 18.83 Mt (42.3%),India 9.43 Mt (21.2%),Philippines 2.54 Mt (5.7%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2022-11-01,41.86,5.18,24.52,12.17,29.69,41.86,5107987531.74,41.86,China 20.27 Mt (48.4%),India 5.67 Mt (13.6%),South Korea 2.91 Mt (7.0%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2022-12-01,39.49,4.68,23.04,11.76,27.72,39.49,4579894519.78,39.49,China 19.17 Mt (48.5%),India 5.12 Mt (13.0%),Japan 2.52 Mt (6.4%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2023-01-01,36.74,4.93,21.24,10.57,26.17,36.74,4223233546.26,36.74,China 16.17 Mt (44.0%),India 5.52 Mt (15.0%),South Korea 3.31 Mt (9.0%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2023-02-01,38.54,3.77,23.76,11.01,27.53,38.54,3942020205.08,38.54,China 16.09 Mt (41.8%),India 8.44 Mt (21.9%),South Korea 2.51 Mt (6.5%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2023-03-01,49.63,5.59,29.58,14.46,35.17,49.63,4524044356.88,49.63,China 23.78 Mt (47.9%),India 10.01 Mt (20.2%),South Korea 2.72 Mt (5.5%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2023-04-01,43.59,5.35,27.15,11.1,32.49,43.59,3963708703.45,43.59,China 18.5 Mt (42.4%),India 10.45 Mt (24.0%),Philippines 3.37 Mt (7.7%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2023-05-01,43.41,5.86,25.75,11.79,31.61,43.41,3774298061.39,43.41,China 18.82 Mt (43.4%),India 8.49 Mt (19.6%),Philippines 3.11 Mt (7.2%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2023-06-01,39.02,5.43,23.17,10.42,28.6,39.02,3327355002.59,39.02,China 14.68 Mt (37.6%),India 6.11 Mt (15.7%),Philippines 3.66 Mt (9.4%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2023-07-01,43.12,6.1,26.16,10.85,32.26,43.12,3089890803.03,43.12,China 18.04 Mt (41.8%),India 7.2 Mt (16.7%),Philippines 3.4 Mt (7.9%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2023-08-01,41.16,5.89,23.71,11.56,29.61,41.16,2815278182.17,41.16,China 18.25 Mt (44.3%),India 7.99 Mt (19.4%),Malaysia 2.97 Mt (7.2%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2023-09-01,40.49,5.12,25.3,10.07,30.42,40.49,2662423158.88,40.49,China 14.18 Mt (35.0%),India 11.44 Mt (28.3%),Philippines 2.73 Mt (6.8%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2023-10-01,48.83,6.61,29.35,12.87,35.96,48.83,3364849945.76,48.83,China 18.68 Mt (38.2%),India 13.72 Mt (28.1%),Philippines 3.07 Mt (6.3%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2023-11-01,47.36,6.36,27.52,13.48,33.88,47.36,3461831506.34,47.36,China 19.15 Mt (40.4%),India 10.25 Mt (21.6%),Philippines 3.47 Mt (7.3%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2023-12-01,49.22,8.66,27.34,13.22,36.0,49.22,3700592717.55,49.22,China 21.6 Mt (43.9%),India 9.53 Mt (19.4%),Philippines 3.15 Mt (6.4%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2024-01-01,40.93,6.09,23.41,11.43,29.5,40.93,3010039784.81,40.93,China 18.07 Mt (44.2%),India 8.33 Mt (20.3%),South Korea 3.22 Mt (7.9%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2024-02-01,44.17,6.46,26.75,10.96,33.21,44.17,3152264050.06,44.17,China 17.42 Mt (39.4%),India 10.91 Mt (24.7%),Philippines 2.75 Mt (6.2%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2024-03-01,46.1,6.54,26.77,12.79,33.31,46.1,3218955155.11,46.1,China 19.26 Mt (41.8%),India 10.82 Mt (23.5%),Philippines 2.97 Mt (6.4%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2024-04-01,44.54,6.03,28.26,10.26,34.28,44.54,3112928005.2,44.54,China 15.57 Mt (35.0%),India 11.34 Mt (25.5%),Philippines 3.81 Mt (8.5%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2024-05-01,46.27,5.61,28.08,12.58,33.69,46.27,3127197258.56,46.27,China 18.44 Mt (39.9%),India 10.09 Mt (21.8%),Philippines 3.55 Mt (7.7%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2024-06-01,44.65,6.76,25.9,11.99,32.66,44.65,3099089772.89,44.65,China 18.87 Mt (42.3%),India 8.29 Mt (18.6%),Philippines 3.59 Mt (8.0%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2024-07-01,45.09,6.14,27.97,10.98,34.11,45.09,3016404747.01,45.09,China 18.8 Mt (41.7%),India 9.32 Mt (20.7%),Philippines 3.58 Mt (7.9%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2024-08-01,45.88,5.53,28.49,11.87,34.02,45.88,3014657660.94,45.88,China 20.12 Mt (43.9%),India 8.48 Mt (18.5%),Philippines 3.72 Mt (8.1%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2024-09-01,47.72,6.2,28.43,13.09,34.64,47.72,3131479730.64,47.72,China 20.96 Mt (43.9%),India 8.6 Mt (18.0%),Philippines 3.38 Mt (7.1%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2024-10-01,51.6,5.47,29.31,16.83,34.77,51.6,3294730541.69,51.6,China 26.42 Mt (51.2%),India 7.99 Mt (15.5%),Philippines 3.3 Mt (6.4%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2024-11-01,50.18,6.65,28.48,15.05,35.13,50.18,3310186545.27,50.18,China 24.84 Mt (49.5%),India 6.88 Mt (13.7%),Philippines 3.2 Mt (6.4%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2024-12-01,50.62,7.25,29.19,14.17,36.45,50.62,3342677108.88,50.62,China 22.96 Mt (45.4%),India 7.45 Mt (14.7%),Japan 3.1 Mt (6.1%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2025-01-01,41.24,4.92,25.49,10.83,30.41,41.24,2663665525.82,41.24,China 16.64 Mt (40.4%),India 7.73 Mt (18.7%),South Korea 3.3 Mt (8.0%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
