date,port,export_tonnes_mt,coal_grade,vessels_loaded_count,primary_destinations
2024-12-01,Dalrymple Bay,5.9,Metallurgical,58,"India, Japan, China"
2024-12-01,Gladstone,6.2,Combined,64,"India, Japan, Korea"
2025-01-01,Newcastle,12.2,Thermal,129,"Japan, Taiwan, Korea"
2025-01-01,Dalrymple Bay,5.1,Metallurgical,50,"India, Japan, China"
2025-01-01,Gladstone,5.4,Combined,56,"India, Japan, Korea"
2025-02-01,Newcastle,11.4,Thermal,120,"Japan, Taiwan, Korea"
2025-02-01,Dalrymple Bay,4.8,Metallurgical,47,"India, Japan, China"
2025-02-01,Gladstone,5.0,Combined,52,"India, Japan, Korea"
2025-03-01,Newcastle,12.9,Thermal,136,"Japan, Taiwan, Korea"
2025-03-01,Dalrymple Bay,5.4,Metallurgical,53,"India, Japan, China"
2025-03-01,Gladstone,5.7,Combined,59,"India, Japan, Korea"
2025-04-01,Newcastle,12.6,Thermal,133,"Japan, Taiwan, Korea"
2025-04-01,Dalrymple Bay,5.3,Metallurgical,52,"India, Japan, China"
2025-04-01,Gladstone,5.6,Combined,58,"India, Japan, Korea"
2025-05-01,Newcastle,13.7,Thermal,145,"Japan, Taiwan, Korea"
2025-05-01,Dalrymple Bay,5.8,Metallurgical,57,"India, Japan, China"
2025-05-01,Gladstone,6.1,Combined,63,"India, Japan, Korea"
2025-06-01,Newcastle,14.2,Thermal,150,"Japan, Taiwan, Korea"
2025-06-01,Dalrymple Bay,6.0,Metallurgical,59,"India, Japan, China"
2025-06-01,Gladstone,6.3,Combined,65,"India, Japan, Korea"
2025-07-01,Newcastle,13.0,Thermal,137,"Japan, Taiwan, Korea"
2025-07-01,Dalrymple Bay,5.5,Metallurgical,54,"India, Japan, China"
2025-07-01,Gladstone,5.8,Combined,60,"India, Japan, Korea"
2025-08-01,Newcastle,13.5,Thermal,142,"Japan, Taiwan, Korea"
2025-08-01,Dalrymple Bay,5.7,Metallurgical,56,"India, Japan, China"
2025-08-01,Gladstone,6.0,Combined,62,"India, Japan, Korea"
2025-09-01,Newcastle,13.8,Thermal,145,"Japan, Taiwan, Korea"
2025-09-01,Dalrymple Bay,5.8,Metallurgical,57,"India, Japan, China"
2025-09-01,Gladstone,6.1,Combined,63,"India, Japan, Korea"
2025-10-01,Newcastle,14.0,Thermal,147,"Japan, Taiwan, Korea"
2025-10-01,Dalrymple Bay,5.9,Metallurgical,58,"India, Japan, China"
2025-10-01,Gladstone,6.2,Combined,64,"India, Japan, Korea"
2025-11-01,Newcastle,13.4,Thermal,141,"Japan, Taiwan, Korea"
2025-11-01,Dalrymple Bay,5.6,Metallurgical,55,"India, Japan, China"
2025-11-01,Gladstone,5.9,Combined,61,"India, Japan, Korea"
2025-12-01,Newcastle,14.8,Thermal,155,"Japan, Taiwan, Korea"
2025-12-01,Dalrymple Bay,6.2,Metallurgical,61,"India, Japan, China"
2025-12-01,Gladstone,6.5,Combined,67,"India, Japan, Korea"
2026-01-01,Newcastle,12.8,Thermal,135,"Japan, Taiwan, Korea"
2026-01-01,Dalrymple Bay,5.3,Metallurgical,52,"India, Japan, China"
2026-01-01,Gladstone,5.6,Combined,58,"India, Japan, Korea"
2026-02-01,Newcastle,11.9,Thermal,125,"Japan, Taiwan, Korea"
2026-02-01,Dalrymple Bay,5.0,Metallurgical,49,"India, Japan, China"
2026-02-01,Gladstone,5.2,Combined,54,"India, Japan, Korea"
2026-03-01,Newcastle,13.5,Thermal,142,"Japan, Taiwan, Korea"
2026-03-01,Dalrymple Bay,5.7,Metallurgical,56,"India, Japan, China"
2026-03-01,Gladstone,6.0,Combined,62,"India, Japan, Korea"
2026-04-01,Newcastle,13.1,Thermal,138,"Japan, Taiwan, Korea"
2026-04-01,Dalrymple Bay,5.5,Metallurgical,54,"India, Japan, China"
2026-04-01,Gladstone,5.8,Combined,60,"India, Japan, Korea"
2026-05-01,Newcastle,14.3,Thermal,151,"Japan, Taiwan, Korea"
2026-05-01,Dalrymple Bay,6.1,Metallurgical,60,"India, Japan, China"
2026-05-01,Gladstone,6.4,Combined,66,"India, Japan, Korea"
2026-06-01,Newcastle,14.9,Thermal,157,"Japan, Taiwan, Korea"
2026-06-01,Dalrymple Bay,6.3,Metallurgical,62,"India, Japan, China"
2026-06-01,Gladstone,6.6,Combined,68,"India, Japan, Korea"
2026-07-01,Newcastle,13.6,Thermal,143,"Japan, Taiwan, Korea"
2026-07-01,Dalrymple Bay,5.8,Metallurgical,57,"India, Japan, China"
2026-07-01,Gladstone,6.1,Combined,63,"India, Japan, Korea"
2026-08-01,Newcastle,14.1,Thermal,148,"Japan, Taiwan, Korea"
2026-08-01,Dalrymple Bay,6.0,Metallurgical,59,"India, Japan, China"
2026-08-01,Gladstone,6.3,Combined,65,"India, Japan, Korea"
